name,baseline,selected_view_count,coverage_ratio,weighted_coverage_ratio,path_cost_before_2opt,path_cost_after_2opt,path_cost_reduction,total_reward,terminated,truncated,surface_point_count,input_candidate_count,target_coverage,max_selected,reward_motion_scale,reward_local_jump_threshold,reward_local_jump_scale,reward_smoothness_scale,reward_region_switch_scale,ga_population_size,ga_generations,ga_path_weight,ilp_time_limit,ilp_mip_gap,ilp_solver_success,ilp_solver_status,summary_json
blade_selected_viewpath_ga_5k,genetic_algorithm,80,0.7566,0.7804454591994142,2090.8382455341275,1189.7652505845274,901.0729949496001,,,,5000,160,0.85,80,,,,,,80,120,0.1,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ga_5k_summary.json
blade_selected_viewpath_ga_smoke,genetic_algorithm,20,0.259,0.3219882180260927,245.1316633644455,223.1795101272455,21.952153237200008,,,,1000,160,0.85,20,,,,,,12,4,0.1,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ga_smoke_summary.json
blade_selected_viewpath_greedy_5k,greedy_env,80,0.685,0.7035969214942044,871.8292411823369,770.9113406559369,100.91790052639999,0.061951680351100824,False,True,5000,160,0.85,80,,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_greedy_5k_summary.json
blade_selected_viewpath_rl_baseline,greedy_env,80,0.62204,0.6478924618419017,852.9559552995464,755.4387344337229,97.51722086582356,0.020137502762522897,False,True,50000,160,0.85,80,,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_rl_baseline_summary.json
blade_selected_viewpath_ilp_tsp_5k,ilp_tsp,80,0.774,0.7982249554001593,1276.6133281076925,1173.5145013042932,103.09882680339933,,,,5000,160,0.85,80,,,,,,,,,300.0,0.005,True,0,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_5k_summary.json
blade_selected_viewpath_maskable_ppo_50k_shaped,maskable_ppo,80,0.6934,0.7152988975054471,2918.042624383479,1038.3672180367107,1879.6754063467683,1.9197277268156974,False,True,5000,160,0.85,80,0.35,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_50k_shaped_summary.json
blade_selected_viewpath_maskable_ppo_50k_localjump2_thr055,maskable_ppo,80,0.6844,0.7099377251945052,2608.727007176252,1001.2987748805281,1607.4282322957238,2.519369370018775,False,True,5000,160,0.85,80,0.35,0.55,2.0,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_50k_localjump2_thr055_summary.json
blade_selected_viewpath_maskable_ppo_50k_structure_s010_r002,maskable_ppo,80,0.68,0.7076786612418318,2575.3030442068616,1080.2184724148901,1495.0845717919715,-2.4376668667607873,False,True,5000,160,0.85,80,0.35,0.55,2.0,0.1,0.02,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_50k_structure_s010_r002_summary.json
blade_selected_viewpath_maskable_ppo_50k_motion075,maskable_ppo,80,0.6706,0.6928770014120315,2125.888978345138,919.3199896224214,1206.5689887227168,-1.8642440155421542,False,True,5000,160,0.85,80,0.75,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_50k_motion075_summary.json
blade_selected_viewpath_maskable_ppo_50k_localjump2,maskable_ppo,80,0.668,0.6902166735144846,2382.847894705549,963.8968587748731,1418.951035930676,2.749172376200545,False,True,5000,160,0.85,80,0.35,0.35,2.0,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_50k_localjump2_summary.json
blade_selected_viewpath_maskable_ppo_50k_motion055,maskable_ppo,80,0.6514,0.6699045949289426,2433.404788631667,855.2275799555374,1578.1772086761298,-0.5695606716864179,False,True,5000,160,0.85,80,0.55,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_50k_motion055_summary.json
blade_selected_viewpath_maskable_ppo_1k,maskable_ppo,80,0.5858,0.6243563198176866,4300.603828912106,1105.394758955658,3195.209069956448,-2.5407841119496632,False,True,5000,160,0.85,80,,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_1k_summary.json
blade_selected_viewpath_maskable_ppo_localjump_smoke,maskable_ppo,10,0.10633333333333334,0.11776603278794581,463.66962272464923,279.43892159315374,184.2307011314955,0.32290225343165435,False,True,3000,160,0.85,10,0.35,0.35,2.0,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_localjump_smoke_summary.json
blade_selected_viewpath_maskable_ppo_reward_smoke,maskable_ppo,10,0.10633333333333334,0.11776603278794581,434.802779268765,279.43892159315374,155.36385767561126,0.42984642441619964,False,True,3000,160,0.85,10,0.35,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_reward_smoke_summary.json
blade_selected_viewpath_maskable_ppo_smoke,maskable_ppo,10,0.1072,0.11445230097847572,512.7174960562282,328.65116475743537,184.06633129879287,-0.26289537888270303,False,True,5000,160,0.85,10,,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_smoke_summary.json
blade_selected_viewpath_full,unknown,134,0.8421,0.8618507266489132,1798.6695886017421,1551.266998026501,247.40259057524122,,,,50000,160,0.95,160,,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_full_summary.json
blade_selected_viewpath_full_fast,unknown,134,0.8421,0.8618507266489132,1798.6695886017421,1798.6695886017421,0.0,,,,50000,160,0.95,160,,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_full_fast_summary.json
blade_selected_viewpath,unknown,80,0.62204,0.6478924618419017,852.9559552995464,755.4387344337229,97.51722086582356,,,,50000,160,0.85,80,,,,,,,,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_summary.json
