name,baseline,selected_view_count,coverage_ratio,weighted_coverage_ratio,path_cost_before_2opt,path_cost_after_2opt,path_cost_reduction,total_reward,terminated,truncated,surface_point_count,input_candidate_count,target_coverage,max_selected,reward_motion_scale,reward_local_jump_threshold,reward_local_jump_scale,reward_smoothness_scale,reward_region_switch_scale,reward_intermediate_scale,reward_terminal_coverage_scale,reward_terminal_path_scale,reward_terminal_shot_scale,reward_expert_prior_scale,reward_expert_next_scale,reward_expert_edge_scale,reward_expert_edge_jump_scale,reward_expert_edge_bandwidth,expert_edge_mask_window,expert_edge_mask_min_candidates,expert_edge_mask_escape_ratio,expert_edge_mask_escape_motion_weight,expert_edge_mask_escape_max_motion,expert_edge_mask_start_step,mask_active_steps,mask_base_action_count_mean,mask_guided_action_count_mean,mask_escape_action_count_mean,mask_action_reduction_ratio,expert_route_count,expert_selected_ratio,expert_forward_edge_ratio,expert_local_forward_edge_ratio,expert_backward_edge_count,expert_mean_rank_jump,expert_route_csv,ga_population_size,ga_generations,ga_path_weight,ilp_time_limit,ilp_mip_gap,ilp_solver_success,ilp_solver_status,summary_json
blade_selected_viewpath_ilp_tsp_5k,ilp_tsp,80,0.774,0.7982249554001593,1276.6133281076925,1173.5145013042932,103.09882680339933,,,,5000,160,0.85,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,0.005,True,0,outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_5k_summary.json
blade_selected_viewpath_ilp_tsp_smoke,ilp_tsp,20,0.352,0.42641529340747947,563.0223418694344,547.5836288114695,15.438713057964947,,,,500,160,0.85,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.02,True,0,outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_smoke_summary.json
blade_selected_viewpath_maskable_ppo_edge_mask_smoke,maskable_ppo,80,0.73772,0.7621900981940464,3126.483454715491,3126.483454715491,0.0,7.245020029456948,False,True,50000,160,0.85,80,0.35,0.35,0.0,0.0,0.0,0.1,8.0,2.0,0.0,0.02,0.02,0.08,0.08,3.0,6,6,0.85,,,0,80,97.25,8.8125,,0.9093830334190232,80,0.825,0.7833333333333333,0.35,13,7.966666666666667,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_5k.csv,,,,,,,,outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_edge_mask_smoke_summary.json
blade_selected_viewpath_maskable_ppo_edge_mask_path_escape_smoke,maskable_ppo,80,0.70908,0.7393524413452308,2715.2857103934143,2715.2857103934143,0.0,7.046756798466393,False,True,50000,160,0.85,80,0.35,0.35,0.0,0.0,0.0,0.1,8.0,2.0,0.0,0.02,0.02,0.08,0.08,3.0,6,6,0.85,2.0,0.55,0,78,92.4875,10.9625,4.525,0.8814704689822949,80,0.7375,0.8333333333333334,0.20833333333333334,8,10.583333333333334,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_5k.csv,,,,,,,,outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_edge_mask_path_escape_smoke_summary.json
blade_selected_viewpath_maskable_ppo_edge_mask_path_escape_5k,maskable_ppo,80,0.7069,0.734887446837037,2663.204141894921,1146.3181468266491,1516.885995068272,7.1000257156903075,False,True,50000,160,0.85,80,0.35,0.35,0.0,0.0,0.0,0.1,8.0,2.0,0.0,0.02,0.02,0.08,0.08,3.0,6,6,0.85,2.0,0.55,0,78,95.15,10.1875,4.2125,0.8929322122963741,80,0.7875,0.88,0.32,6,9.3,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_5k.csv,,,,,,,,outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_edge_mask_path_escape_5k_summary.json
blade_selected_viewpath_maskable_ppo_edge_mask_5k,maskable_ppo,80,0.70328,0.7334061310055539,3508.492979858611,1199.0066484619388,2309.486331396672,6.744168665767624,False,True,50000,160,0.85,80,0.35,0.35,0.0,0.0,0.0,0.1,8.0,2.0,0.0,0.02,0.02,0.08,0.08,3.0,6,6,0.85,,,0,80,101.2125,10.7375,,0.8939113251821662,80,0.75,0.9019607843137255,0.3333333333333333,5,7.7254901960784315,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_5k.csv,,,,,,,,outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_edge_mask_5k_summary.json
blade_selected_viewpath_maskable_ppo_50k_structure_s010_r002,maskable_ppo,80,0.68,0.7076786612418318,2575.3030442068616,1080.2184724148901,1495.0845717919715,-2.4376668667607873,False,True,5000,160,0.85,80,0.35,0.55,2.0,0.1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_50k_structure_s010_r002_summary.json
blade_selected_viewpath_maskable_ppo_expert_prior_5k,maskable_ppo,80,0.66492,0.6980095867227757,4440.354279564943,1176.4333425178304,3263.9209370471126,6.271369375913116,False,True,50000,160,0.85,80,0.35,0.35,0.0,0.0,0.0,0.1,8.0,2.0,0.0,0.05,0.05,,,,,,,,,,,,,,,80,,,,,,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_5k.csv,,,,,,,,outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_expert_prior_5k_summary.json
blade_selected_viewpath_maskable_ppo_edge_prior_5k,maskable_ppo,80,0.6431,0.677963247153856,4396.3500725161175,1068.8907717224859,3327.459300793632,5.705659755484065,False,True,50000,160,0.85,80,0.35,0.35,0.0,0.0,0.0,0.1,8.0,2.0,0.0,0.02,0.02,0.08,0.08,3.0,,,,,,,,,,,,80,0.6125,0.5,0.03571428571428571,14,26.107142857142858,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_5k.csv,,,,,,,,outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_edge_prior_5k_summary.json
blade_selected_viewpath_maskable_ppo_edge_prior_smoke,maskable_ppo,80,0.63944,0.6740176936559659,4381.269678691358,4381.269678691358,0.0,5.702318162421749,False,True,50000,160,0.85,80,0.35,0.35,0.0,0.0,0.0,0.1,8.0,2.0,0.0,0.02,0.02,0.08,0.08,3.0,,,,,,,,,,,,80,0.5125,0.45454545454545453,0.045454545454545456,12,27.727272727272727,E:\graduation_paper\trajectory_planning\outputs\selected_viewpath\blade_selected_viewpath_ilp_tsp_5k.csv,,,,,,,,outputs\selected_viewpath\blade_selected_viewpath_maskable_ppo_edge_prior_smoke_summary.json
