route_order,candidate_view_id,camera_x,camera_y,camera_z,target_x,target_y,target_z,view_dir_x,view_dir_y,view_dir_z,qw,qx,qy,qz,region_type,priority_score,newly_covered_points,cumulative_coverage_ratio,transition_distance
0,25,42.2996891110362,36.00435436508272,81.21696309678951,44.28660793521077,16.228590562735548,78.9873174702569,0.09934594120872832,-0.9887881901173587,-0.11148228132663081,0.6656922045405002,0.7445462776644239,0.03730926264838219,0.0333578798890674,boundary_high_curvature,0.9013447929676176,35,0.007,0.0
1,17,56.03456906525053,30.30685647100409,82.83576008522222,41.74302123928084,16.770486994242336,86.37388983504965,-0.7145773912984842,-0.6768184738380875,0.17690648749137164,0.7046671834583725,0.5893016507938823,-0.2535159178945564,-0.30314584658630933,boundary_high_curvature,0.9380693076955969,64,0.0198,14.957570434380973
2,18,46.860251592365735,22.306614848616405,108.55518825582266,42.39730111204605,17.094893354143515,89.76902227991731,-0.22314752401598414,-0.2605860747236445,-0.9393082987952672,-0.11534747835453399,-0.01529315787618476,0.9845914222253856,-0.13054045288575003,boundary_high_curvature,0.9354389312369584,2,0.0202,28.45454186123085
3,13,29.686443094805043,15.149901165728352,89.59344085103264,42.47602955705849,14.799330572802315,74.22127189593984,0.6394793231126722,-0.017528529646301826,-0.76860844775464,0.24378871925826656,0.6739934928605603,0.6557720605964712,0.23719788465560582,boundary_high_curvature,0.9542313509892107,64,0.033,26.565129656991814
4,0,39.48895542975032,5.57743137923989,93.44206959548983,41.69574507957074,15.960430236724644,76.49145266963973,0.11033948249102109,0.5191499428742377,-0.8475308462925047,0.028858606895779303,0.1004570028004222,0.9558628634561595,0.2745938048496041,boundary_high_curvature,1.0,8,0.0346,14.231421893214005
5,45,37.86291140174154,-2.8394066579322796,86.76395280745808,40.98811317152328,16.397326879410514,82.27160412203483,0.15626008848908696,0.9618366768671397,-0.2246174342711626,0.050085553034443876,0.06294404904352079,0.779965873500622,0.6206309050004298,boundary_high_curvature,0.7697857606425679,12,0.037,10.866665797732196
6,127,37.785004412205424,-6.403361128002018,82.18136999255641,32.16923503533913,12.778713221511229,81.4664168782918,-0.2807884688433148,0.9591037174756624,-0.03574765571323084,-0.09854295922255049,-0.10213091615068007,0.712350408031636,0.6873248557494828,surface,0.11620555748023122,75,0.052,5.8058510331544655
7,6,52.6630366687602,-1.2263678135151412,84.02952380889545,41.849932947615564,15.224040376440632,80.49952971547202,-0.5406551860572316,0.8225204094977884,-0.17649970467117124,-0.1839504203562097,-0.2198694126308234,0.7347838414969142,0.6147457934099169,boundary_high_curvature,0.9716735916230689,0,0.052,15.86104587138486
8,14,55.95265914610163,0.7923693930187223,68.41231284867992,43.99723254153667,13.690935105770578,58.88893229045993,-0.5977713302282481,0.6449282856375927,-0.4761690279109995,-0.1868470254813635,-0.31365964491339976,0.7998138165275089,0.47644902677334433,boundary_high_curvature,0.9515824637225166,73,0.0666,16.087081591399674
9,42,46.03321738960446,-4.614417021362167,66.37708703765679,44.31091834640077,14.618528682128366,61.16868175654005,-0.08611495216018454,0.9616472851745266,-0.26042026405583696,-0.02714620002854203,-0.03543841027217458,0.7930663598371195,0.6074972854228173,boundary_high_curvature,0.7819639113494458,18,0.0702,11.47914666659191
10,12,41.89745100023184,-4.270336484732086,71.39844471667392,43.99259726178949,14.13444708728212,63.856939309263744,0.10475731307788258,0.9202391786007104,-0.37707527037050886,0.03161246556220334,0.047002333828009175,0.8284494044900841,0.5571920825315306,boundary_high_curvature,0.9585606547042942,19,0.074,6.5143678115206365
11,26,40.68399664363254,0.7270086542443739,69.95726605776255,42.365691722981424,13.114323892068809,54.34552935556134,0.0840847539674442,0.6193657618912216,-0.7805868351100606,0.022329543955345175,0.06361068780246021,0.9414069778540672,0.3304662976942067,boundary_high_curvature,0.900300071473136,52,0.0844,5.340685896072062
12,11,53.791954381375476,30.932275518478043,60.99488236610449,44.213041959236506,14.152837927227887,55.82817055583937,-0.4789456211069483,-0.8389718795625076,-0.25833559051325594,0.5885923448102055,0.766671166121189,-0.2034284107370555,-0.15617700334619103,boundary_high_curvature,0.9591553432714064,0,0.0844,34.124786062780316
13,28,50.779262193576244,31.955928610480175,55.435687666829914,44.23397267556474,13.698399939724535,50.55492625471965,-0.32726447590057506,-0.912876433537782,-0.24403807060551302,0.6057179575203482,0.7770291693998652,-0.13507296252215753,-0.10529349758945866,boundary_high_curvature,0.8974312258696794,34,0.0912,6.405374741233693
14,4,52.86968102467625,29.975645080187217,47.3762850199786,43.736055806378815,12.396201204776538,44.63037107322658,-0.45668126091487155,-0.8789721937705338,-0.13729569733760127,0.6380139113202178,0.7325476243163016,-0.17894643549773018,-0.1558537785652842,boundary_high_curvature,0.977314704272134,39,0.099,8.558349418774682
15,9,52.75027277677305,22.834622644207595,42.13785816991861,43.43366386225432,11.922187762525859,28.205178481970357,-0.46583044572593657,-0.5456217440840868,-0.6966339843974125,0.36540518239594905,0.8641424097162241,-0.31870815478826997,-0.13476668905733685,boundary_high_curvature,0.9647907445492272,76,0.1142,8.857176504070646
16,7,62.112045331988206,13.85232976511359,36.93801189720252,43.04792627567263,12.227945240048967,31.11386049795508,-0.9532059528157788,-0.08121922625323111,-0.29120756996237207,0.4384541079874596,0.5917832108959996,-0.5435038328133545,-0.4026837595529961,boundary_high_curvature,0.9688925284302805,30,0.1202,13.97722332944859
17,23,55.67044516254995,1.789170308566792,23.149015590058646,43.5773924006424,11.605414193153198,35.69490857924201,-0.6046526380953774,0.4908121942293202,0.6272946494591681,-0.38785431960777056,-0.18561725599181642,0.38974210646077795,0.814380962136995,boundary_high_curvature,0.9076903842450319,34,0.127,19.420361684979216
18,104,63.58787771855811,-0.2256938808486888,21.650456737439,46.05810816505533,6.4900710317294665,14.750769712647875,-0.876488477675139,0.33578824562890774,-0.3449843512395563,-0.3243004195720141,-0.4647081491930308,0.6756763364906055,0.4715263112972991,high_curvature,0.28346660951989167,40,0.135,8.306087804465559
19,129,64.97595198786686,-0.2645192620872283,4.924516646320018,46.84979845207472,8.187850701232227,4.924508563408338,-0.9063076767896069,0.4226184981659727,-4.041455839765006e-07,-0.37992804203158287,-0.37992819557785423,0.596367980593985,0.596367739574548,surface,0.11615967384214848,34,0.1418,16.783483831405402
20,81,47.054084419032094,0.8350285852820019,-5.624605917638571,49.8282810490134,16.134589743266147,6.954235898335713,0.1387098314990652,0.7649780578992073,0.6289420907987142,0.08083333094807084,0.038579669184116296,0.42899949152217776,0.898853168213361,high_curvature,0.33814865343700296,55,0.1528,20.825136962164883
21,15,38.594715084384994,1.1495099291611837,3.4649477149611165,43.945011804774545,10.272493980401563,20.43979637421586,0.26751483601947756,0.45614920256201896,0.8487424329627371,0.251999314073201,0.07208081844598307,0.2653924247803405,0.927829489824507,boundary_high_curvature,0.9449981804125104,51,0.163,12.420942528468682
22,46,38.70010030353004,3.0120478679215577,2.4730251421957377,49.21667152154466,14.070757589431658,15.399999618530272,0.5258285609007309,0.552935486075505,0.6463487238167267,0.33664841291996306,0.15602826185899354,0.39048792502828816,0.8425213397812743,boundary_high_curvature,0.7555402408818452,22,0.1674,2.1128331709099704
23,91,45.66708199315217,7.741904053146128,-3.5408957155655827,45.25205104415332,14.150510239689268,15.399999618530273,-0.020751547449942717,0.32043030932715694,0.9470447667047927,0.9866707758680541,-0.16236006419669455,-0.010808617009075342,-0.0017785950434450035,high_curvature,0.30282466606628344,10,0.1694,10.347831535150435
24,146,42.259001218567235,18.229011820386365,-5.885863652569183,42.259001218567235,1.648259801032129,5.297993574375395,0.0,-0.8290376009677118,0.5591928613472289,0.8829475809319682,0.46947158521723714,0.0,0.0,surface,0.11324727221738287,45,0.1784,11.273567248807312
