route_order,candidate_view_id,camera_x,camera_y,camera_z,target_x,target_y,target_z,view_dir_x,view_dir_y,view_dir_z,qw,qx,qy,qz,region_type,priority_score,newly_covered_points,cumulative_coverage_ratio,transition_distance
0,8,47.71628062921304,30.506112886458897,40.53498094757777,43.513979592367065,12.33006159863405,33.32583220600752,-0.21011505184229867,-0.9088025643912424,-0.36045743707851263,0.5618381347452385,0.8194434093814241,-0.09349447770111487,-0.0641029781424775,boundary_high_curvature,0.965483110651088,73,0.0146,0.0
1,9,52.75027277677305,22.834622644207595,42.13785816991861,43.43366386225432,11.922187762525859,28.205178481970357,-0.46583044572593657,-0.5456217440840868,-0.6966339843974125,0.36540518239594905,0.8641424097162241,-0.31870815478826997,-0.13476668905733685,boundary_high_curvature,0.9647907445492272,47,0.024,9.314615121869066
2,11,53.791954381375476,30.932275518478043,60.99488236610449,44.213041959236506,14.152837927227887,55.82817055583937,-0.4789456211069483,-0.8389718795625076,-0.25833559051325594,0.5885923448102055,0.766671166121189,-0.2034284107370555,-0.15617700334619103,boundary_high_curvature,0.9591553432714064,80,0.04,20.548587400916087
3,42,46.03321738960446,-4.614417021362167,66.37708703765679,44.31091834640077,14.618528682128366,61.16868175654005,-0.08611495216018454,0.9616472851745266,-0.26042026405583696,-0.02714620002854203,-0.03543841027217458,0.7930663598371195,0.6074972854228173,boundary_high_curvature,0.7819639113494458,32,0.0464,36.77952524647221
4,31,43.78853257793197,-5.974050471484992,58.69856432958264,45.103916031353016,13.325458743629904,53.619321233789584,0.06576917267105245,0.9649754607557448,-0.25396215478965267,0.02077718077828241,0.0269369489812011,0.7913630508018494,0.610399239321348,boundary_high_curvature,0.8614149617130334,16,0.0496,8.114611759095842
5,116,30.660793924667715,-8.773236093871958,63.94063771601516,26.03896619596172,10.68336577603014,63.658942628577265,-0.23109138643529975,0.9728300934951049,-0.014084754371894803,-0.08168854698382438,-0.0828473281498265,0.7072331280450473,0.6973410959535686,surface,0.1182123685438349,60,0.0616,14.410145581698
6,143,29.999416371157995,-8.990464042757832,58.18719376027705,25.942734952778338,10.592862977179418,57.99578137831369,-0.20283407091898287,0.9791663509968626,-0.00957061909816801,-0.07174580125692966,-0.07243577050920114,0.7067802831855331,0.7000480201049906,surface,0.11369039758885237,44,0.0704,5.7954055597415355
7,73,31.477457180485384,-9.229257512328148,34.46399844430422,29.821043374742974,10.692919785516887,33.861383295661334,-0.08282069028712051,0.9961088648922518,-0.03013075743214415,-0.02887495688954354,-0.02975849258914614,0.7170633241457088,0.6957735681588909,boundary,0.3623836450824426,67,0.0838,23.77039383255864
8,122,20.453749313949775,-10.63140492953275,32.91589139641693,16.867483080200014,9.032633698042766,33.597271873011586,-0.17931331168748804,0.9832019313787758,0.03406902382973272,-0.06476844917272442,-0.06259819069167478,0.692132180011349,0.7161281728200801,surface,0.11683734644198496,71,0.098,11.219839033516074
9,64,25.29791288145548,-9.854555092249505,21.406614013542843,24.07569062202622,10.108064257640436,21.407813994962492,-0.06111111297146312,0.998130967494497,5.999907098246382e-05,-0.021616792367446076,-0.021615495418893096,0.7067550996082763,0.7067975055298611,boundary,0.36335436321135,61,0.1102,12.511310171775522
