epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,92.4611,2.17708,2.97895,1.33975,0.45033,0.20283,0.16492,0.06483,2.00568,2.35881,1.2917,0.00996587,0.00332196,0.00996587,0.00332196,0.00996587,0.00332196,0.00996587,0.00332196
2,172.511,2.00005,2.20409,1.2405,0.48112,0.2609,0.20645,0.08351,1.88837,1.92931,1.22764,0.0199648,0.00665492,0.0199648,0.00665492,0.0199648,0.00665492,0.0199648,0.00665492
3,248.358,2.06676,2.07952,1.29235,0.22896,0.25071,0.17871,0.06809,2.00634,2.11133,1.3116,0.0299592,0.00998641,0.0299592,0.00998641,0.0299592,0.00998641,0.0299592,0.00998641
4,326.349,2.07276,1.95686,1.30182,0.53859,0.14586,0.13187,0.05337,1.98624,2.12038,1.34277,0.029985,0.009995,0.029985,0.009995,0.029985,0.009995,0.029985,0.009995
5,404.005,2.00673,1.85818,1.28155,0.31084,0.17058,0.14361,0.05979,2.02174,2.16542,1.31382,0.0299734,0.00999112,0.0299734,0.00999112,0.0299734,0.00999112,0.0299734,0.00999112
6,480.739,1.96084,1.79625,1.25594,0.3251,0.31787,0.24844,0.10349,1.83982,1.89308,1.21098,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613
7,555.123,1.92076,1.74222,1.23119,0.34406,0.29048,0.23496,0.09434,1.90227,1.92417,1.23336,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003
8,632.471,1.89674,1.7044,1.22201,0.34294,0.34313,0.2914,0.11922,1.81623,1.78299,1.19424,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282
9,710.045,1.87481,1.6664,1.21701,0.46193,0.37363,0.35706,0.14662,1.7359,1.65922,1.1528,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452
10,788.584,1.86144,1.65711,1.20397,0.43172,0.40421,0.37203,0.15331,1.72865,1.60689,1.15161,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511
11,864.018,1.83638,1.63606,1.20189,0.41295,0.3475,0.31866,0.1341,1.73363,1.69161,1.13219,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446
12,938.293,1.80975,1.6058,1.18465,0.32068,0.29115,0.22754,0.10042,1.83507,1.80815,1.19762,0.029799,0.00993299,0.029799,0.00993299,0.029799,0.00993299,0.029799,0.00993299
13,1012.73,1.81326,1.58814,1.18438,0.30956,0.31703,0.26043,0.1199,1.78867,1.69139,1.14434,0.0297609,0.00992029,0.0297609,0.00992029,0.0297609,0.00992029,0.0297609,0.00992029
14,1086.64,1.79225,1.57191,1.17857,0.41795,0.4253,0.36895,0.16082,1.72822,1.5684,1.12127,0.0297195,0.0099065,0.0297195,0.0099065,0.0297195,0.0099065,0.0297195,0.0099065
15,1160.68,1.77679,1.54578,1.16734,0.42961,0.43509,0.37142,0.15579,1.70973,1.57344,1.12987,0.0296749,0.00989163,0.0296749,0.00989163,0.0296749,0.00989163,0.0296749,0.00989163
16,1234.61,1.76738,1.54119,1.16225,0.4497,0.41616,0.35875,0.15969,1.73409,1.53077,1.12282,0.029627,0.00987566,0.029627,0.00987566,0.029627,0.00987566,0.029627,0.00987566
17,1309.6,1.75957,1.52927,1.16047,0.49585,0.41045,0.39091,0.16891,1.68956,1.59535,1.09738,0.0295759,0.00985862,0.0295759,0.00985862,0.0295759,0.00985862,0.0295759,0.00985862
18,1383.91,1.74969,1.51366,1.1503,0.44345,0.45388,0.40202,0.17208,1.68049,1.4642,1.09854,0.0295215,0.00984051,0.0295215,0.00984051,0.0295215,0.00984051,0.0295215,0.00984051
19,1458.85,1.74015,1.49051,1.14965,0.46379,0.41319,0.37591,0.16599,1.67928,1.51874,1.10517,0.029464,0.00982132,0.029464,0.00982132,0.029464,0.00982132,0.029464,0.00982132
20,1532.87,1.74031,1.50033,1.14749,0.44712,0.3887,0.37719,0.16126,1.76154,1.48335,1.12363,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107
21,1608.04,1.73213,1.48727,1.13617,0.49357,0.41193,0.41184,0.18175,1.67009,1.47245,1.0889,0.0293393,0.00977975,0.0293393,0.00977975,0.0293393,0.00977975,0.0293393,0.00977975
22,1684.64,1.72009,1.47895,1.13772,0.43723,0.45075,0.38939,0.17493,1.66594,1.48271,1.08811,0.0292722,0.00975738,0.0292722,0.00975738,0.0292722,0.00975738,0.0292722,0.00975738
23,1762.16,1.71182,1.46907,1.1345,0.48774,0.41364,0.40397,0.18563,1.64805,1.46378,1.09965,0.0292019,0.00973396,0.0292019,0.00973396,0.0292019,0.00973396,0.0292019,0.00973396
24,1840.34,1.70505,1.44679,1.13388,0.49705,0.44238,0.43777,0.19643,1.63692,1.39891,1.07419,0.0291285,0.0097095,0.0291285,0.0097095,0.0291285,0.0097095,0.0291285,0.0097095
25,1918.85,1.71034,1.45278,1.13196,0.4853,0.40312,0.39694,0.1795,1.60461,1.44064,1.07227,0.029052,0.00968399,0.029052,0.00968399,0.029052,0.00968399,0.029052,0.00968399
26,1995.12,1.68514,1.42215,1.11994,0.47252,0.43598,0.40766,0.18472,1.63595,1.39165,1.08785,0.0289724,0.00965746,0.0289724,0.00965746,0.0289724,0.00965746,0.0289724,0.00965746
27,2069.75,1.69783,1.43043,1.13025,0.49241,0.43644,0.42443,0.19143,1.63888,1.40307,1.07268,0.0288897,0.0096299,0.0288897,0.0096299,0.0288897,0.0096299,0.0288897,0.0096299
28,2144.24,1.69029,1.41984,1.12541,0.46691,0.45561,0.42758,0.19001,1.64408,1.44102,1.07458,0.0288039,0.00960131,0.0288039,0.00960131,0.0288039,0.00960131,0.0288039,0.00960131
29,2218.86,1.6862,1.42367,1.11849,0.47116,0.4725,0.42501,0.19384,1.60458,1.39575,1.07608,0.0287152,0.00957172,0.0287152,0.00957172,0.0287152,0.00957172,0.0287152,0.00957172
30,2293.28,1.6711,1.40039,1.11638,0.5243,0.43724,0.45806,0.20573,1.62838,1.38641,1.07187,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112
31,2368.58,1.67358,1.3987,1.11436,0.43639,0.4731,0.42622,0.18847,1.6419,1.41354,1.08505,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953
32,2444.57,1.66361,1.37537,1.10819,0.52719,0.4867,0.47597,0.21387,1.62664,1.3395,1.06455,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695
33,2519.36,1.66014,1.38429,1.10911,0.50765,0.4576,0.44081,0.19915,1.60711,1.35395,1.06072,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338
34,2593.57,1.6589,1.3819,1.10752,0.48643,0.49384,0.46486,0.21168,1.60939,1.32493,1.05773,0.0282265,0.00940884,0.0282265,0.00940884,0.0282265,0.00940884,0.0282265,0.00940884
35,2668.33,1.65868,1.37736,1.10588,0.46358,0.4477,0.42564,0.18934,1.63487,1.39438,1.07652,0.02812,0.00937334,0.02812,0.00937334,0.02812,0.00937334,0.02812,0.00937334
36,2743.18,1.65246,1.36937,1.09971,0.53623,0.4722,0.45811,0.21045,1.61456,1.33727,1.07131,0.0280106,0.00933688,0.0280106,0.00933688,0.0280106,0.00933688,0.0280106,0.00933688
37,2818.12,1.64191,1.36056,1.10178,0.5062,0.43867,0.44211,0.20052,1.61985,1.38931,1.0745,0.0278984,0.00929948,0.0278984,0.00929948,0.0278984,0.00929948,0.0278984,0.00929948
38,2893.98,1.6439,1.34528,1.09776,0.54187,0.45907,0.47194,0.21735,1.58901,1.31282,1.05875,0.0277834,0.00926113,0.0277834,0.00926113,0.0277834,0.00926113,0.0277834,0.00926113
39,2970,1.6311,1.33144,1.09583,0.48311,0.47678,0.45758,0.21404,1.60287,1.32323,1.06073,0.0276656,0.00922186,0.0276656,0.00922186,0.0276656,0.00922186,0.0276656,0.00922186
40,3045.19,1.62372,1.34165,1.09091,0.50484,0.45799,0.45554,0.2108,1.57844,1.3295,1.05648,0.027545,0.00918167,0.027545,0.00918167,0.027545,0.00918167,0.027545,0.00918167
41,3120.32,1.62661,1.32589,1.09283,0.5196,0.47277,0.46379,0.2146,1.57851,1.31459,1.05815,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058
42,3196.73,1.62724,1.33227,1.09259,0.55614,0.47028,0.48394,0.22246,1.6001,1.30845,1.05971,0.0272957,0.00909858,0.0272957,0.00909858,0.0272957,0.00909858,0.0272957,0.00909858
