epoch,train_loss,train_miou,val_loss,val_miou,iou_c1,iou_c2,iou_c3,iou_c4
26,0.616135,0.442873,0.373993,0.574488,0.385441,0.353079,0.885854,0.673577
27,0.408024,0.533980,0.308094,0.602204,0.413238,0.362024,0.905601,0.727953
28,0.385862,0.561135,0.314826,0.597219,0.423263,0.371232,0.893084,0.701298
29,0.391651,0.588797,0.319165,0.652197,0.431315,0.479321,0.925506,0.772645
30,0.369622,0.606834,0.259687,0.656029,0.434306,0.533798,0.913200,0.742813
31,0.352628,0.624049,0.416497,0.691919,0.444300,0.555133,0.942745,0.825497
32,0.319404,0.639909,0.352473,0.674912,0.432886,0.557754,0.928352,0.780657
33,0.303856,0.656954,0.313621,0.629124,0.436642,0.451546,0.906058,0.722250
34,0.269385,0.680942,0.284657,0.703740,0.454591,0.633645,0.926072,0.800653
35,0.278677,0.688245,0.318209,0.730378,0.472428,0.676158,0.943603,0.829322
36,0.269735,0.716193,0.286513,0.739660,0.549236,0.654217,0.939808,0.815380
37,0.232153,0.711634,0.315936,0.689885,0.508818,0.515923,0.935044,0.799756
38,0.226371,0.732345,0.389232,0.724151,0.522285,0.604281,0.945772,0.824267
39,0.208448,0.740517,0.275726,0.740693,0.479965,0.685096,0.945580,0.852131
40,0.233570,0.741598,0.451366,0.718399,0.495913,0.613052,0.946702,0.817927
41,0.198401,0.758721,0.459035,0.722315,0.480377,0.692018,0.933063,0.783801
42,0.188673,0.775123,0.304437,0.736541,0.543032,0.644581,0.939832,0.818719
43,0.178587,0.780380,0.287862,0.716469,0.558742,0.579549,0.934642,0.792941
44,0.173600,0.784682,0.366522,0.760561,0.545822,0.715408,0.949527,0.831488
45,0.156385,0.797773,0.387890,0.781125,0.584659,0.752063,0.951232,0.836546
46,0.137790,0.810827,0.309537,0.753367,0.561437,0.702849,0.940510,0.808671
47,0.140142,0.819956,0.411891,0.781514,0.608948,0.733306,0.951520,0.832283
48,0.144405,0.826041,0.355549,0.763363,0.563243,0.746182,0.938581,0.805446
49,0.121598,0.826014,0.421962,0.784445,0.584592,0.761051,0.953258,0.838881
50,0.146167,0.831267,0.331347,0.701628,0.411684,0.703775,0.907086,0.783966
51,0.120991,0.828490,0.494422,0.779742,0.638933,0.721982,0.947350,0.810704
52,0.115610,0.844165,0.397160,0.765422,0.602104,0.683690,0.947236,0.828656
53,0.114980,0.851741,0.620816,0.759174,0.602961,0.686540,0.943801,0.803395
54,0.087062,0.858559,0.555270,0.784711,0.562564,0.824746,0.942801,0.808733
55,0.099173,0.858404,0.405377,0.796279,0.568520,0.829936,0.948028,0.838633
56,0.102784,0.867242,0.299625,0.748764,0.556725,0.731006,0.930393,0.776933
57,0.079132,0.877963,0.503549,0.761150,0.562528,0.758928,0.935472,0.787671
58,0.114050,0.879085,0.428270,0.747434,0.607071,0.692768,0.928708,0.761188
59,0.073962,0.881396,0.575535,0.794368,0.629453,0.739973,0.956913,0.851135
60,0.078385,0.894325,0.461739,0.788781,0.627856,0.745836,0.950073,0.831361
61,0.079487,0.890176,0.526208,0.742879,0.522737,0.727971,0.928896,0.791912
62,0.092724,0.890649,0.688163,0.763902,0.567843,0.735112,0.941533,0.811120
63,0.070961,0.907065,0.446359,0.762889,0.626122,0.729645,0.929999,0.765787
64,0.060851,0.907639,0.533823,0.758639,0.594845,0.745217,0.929018,0.765478
65,0.062510,0.910630,0.540471,0.778489,0.629292,0.768630,0.936211,0.779825
66,0.068601,0.911923,0.477827,0.757231,0.579298,0.765085,0.925219,0.759323
67,0.047546,0.921729,0.702572,0.734976,0.527430,0.751631,0.918307,0.742534
68,0.055398,0.921361,0.521391,0.788159,0.623700,0.773775,0.944648,0.810513
69,0.054139,0.925530,0.603383,0.740962,0.547197,0.705915,0.932225,0.778510
70,0.044566,0.927694,0.617372,0.779680,0.587440,0.823460,0.932937,0.774882
71,0.071070,0.918957,0.561531,0.748319,0.610192,0.742167,0.916018,0.724897
72,0.053678,0.924917,0.657268,0.771454,0.605061,0.757001,0.939741,0.784015
73,0.044442,0.934307,0.657950,0.781646,0.572868,0.794793,0.942724,0.816200
74,0.031491,0.941558,0.601146,0.772629,0.567481,0.748836,0.945689,0.828511
75,0.042939,0.943810,0.579406,0.746692,0.549242,0.777092,0.917703,0.742730
76,0.049337,0.937167,0.723477,0.776091,0.591818,0.775196,0.939538,0.797814
77,0.029502,0.950522,0.787796,0.793558,0.619955,0.795406,0.946217,0.812652
78,0.033204,0.945246,0.655677,0.764568,0.538398,0.818665,0.926992,0.774217
79,0.036879,0.958939,0.621123,0.779416,0.622165,0.743339,0.942678,0.809480
80,0.032984,0.950219,0.702917,0.791475,0.604824,0.788542,0.947864,0.824673
81,0.028981,0.952098,0.682339,0.780392,0.617417,0.787159,0.936765,0.780227
82,0.028900,0.956784,0.636414,0.776580,0.604603,0.778069,0.935857,0.787792
83,0.030915,0.959950,0.978197,0.798709,0.645001,0.786463,0.949007,0.814366
84,0.032172,0.948682,0.591182,0.779331,0.576546,0.782550,0.942728,0.815501
85,0.039322,0.960280,0.627630,0.791669,0.631232,0.814771,0.936083,0.784592
86,0.026763,0.962055,0.689890,0.790920,0.623699,0.833756,0.935024,0.771201
87,0.033299,0.957855,0.771548,0.791535,0.590621,0.811860,0.945759,0.817900
88,0.028315,0.965078,0.771476,0.818055,0.654022,0.821201,0.956364,0.840635
89,0.025960,0.963483,0.741017,0.808694,0.634158,0.825742,0.948694,0.826184
90,0.022629,0.967324,0.683766,0.770077,0.579771,0.770252,0.936229,0.794054
91,0.016158,0.970382,0.753020,0.789157,0.627504,0.788590,0.941495,0.799037
92,0.017403,0.970438,0.855864,0.803753,0.617146,0.829196,0.948541,0.820127
93,0.026474,0.974174,0.738220,0.769970,0.546838,0.779603,0.939754,0.813683
94,0.014247,0.969464,0.916582,0.823661,0.670796,0.851371,0.951896,0.820580
95,0.012260,0.972296,1.018135,0.781620,0.566183,0.781877,0.947457,0.830964
96,0.023963,0.970641,0.863517,0.787335,0.574163,0.791028,0.950410,0.833739
97,0.012427,0.978160,0.801648,0.784256,0.543030,0.818986,0.943909,0.831099
98,0.015769,0.975815,0.739813,0.789151,0.585679,0.778941,0.949952,0.842031
99,0.010117,0.975770,0.893813,0.782388,0.523266,0.848294,0.939425,0.818567
100,0.011109,0.979091,0.829053,0.819010,0.606747,0.860721,0.955484,0.853088
101,0.021951,0.977151,0.719661,0.800765,0.551282,0.848954,0.951323,0.851501
102,0.016423,0.978479,0.719740,0.787179,0.565069,0.829546,0.940956,0.813143
103,0.019597,0.976910,0.891267,0.784310,0.564991,0.828740,0.939561,0.803948
104,0.015852,0.978647,0.884556,0.805484,0.581456,0.854363,0.950898,0.835218
105,0.009490,0.981819,0.785976,0.768834,0.544099,0.769380,0.941797,0.820062
106,0.011025,0.981380,0.748541,0.779064,0.521691,0.804703,0.945120,0.844744
107,0.011645,0.983322,0.806834,0.759373,0.538211,0.750553,0.938899,0.809827
108,0.013949,0.980552,1.018363,0.807196,0.591083,0.845461,0.952514,0.839726
109,0.007157,0.984797,0.796890,0.794764,0.560962,0.834308,0.947826,0.835961
110,0.009263,0.987018,0.842471,0.812872,0.581544,0.864371,0.952528,0.853044
111,0.007489,0.987154,1.018352,0.819902,0.594005,0.862114,0.958581,0.864908
112,0.008015,0.984588,0.860092,0.800255,0.613860,0.790129,0.953744,0.843287
113,0.008912,0.988058,0.784776,0.810502,0.601392,0.839812,0.953359,0.847447
114,0.006087,0.984531,0.798105,0.795200,0.602985,0.815328,0.945140,0.817347
115,0.007573,0.988009,0.792223,0.787919,0.573243,0.794176,0.948202,0.836055
116,0.005316,0.987022,0.790340,0.784332,0.580397,0.797590,0.943959,0.815381
117,0.005266,0.990257,0.802229,0.789749,0.609153,0.786753,0.945558,0.817533
118,0.004108,0.989462,0.988920,0.794350,0.587172,0.822843,0.946431,0.820955
119,0.003586,0.990365,1.023921,0.790200,0.612864,0.763191,0.952269,0.832475
120,0.004699,0.991243,0.894807,0.786406,0.545460,0.819734,0.945587,0.834844
121,0.005632,0.989577,0.995757,0.774837,0.556281,0.783351,0.943021,0.816697
122,0.003212,0.992209,1.065194,0.792691,0.621580,0.788541,0.947475,0.813167
123,0.007365,0.991210,0.886248,0.754273,0.501946,0.767278,0.935630,0.812239
124,0.002530,0.991943,0.944807,0.795924,0.614656,0.793320,0.949179,0.826541
