epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.56125,2.04041,3.70547,1.30146,0.00672,0.06123,0.00507,0.00171,1.65586,3.83769,1.02063,0.00020006,0.00020006,0.00020006
2,15.2466,1.9146,2.92272,1.11191,0.01379,0.10259,0.04177,0.01742,1.56472,3.65605,0.97896,0.000414387,0.000414387,0.000414387
3,21.9573,1.90769,2.16308,1.07474,0.03608,0.37572,0.30197,0.1828,1.4262,3.28088,0.94188,0.00062862,0.00062862,0.00062862
4,28.788,1.77637,1.65464,1.04368,0.03998,0.47937,0.33121,0.21351,1.36795,2.967,0.95864,0.000842689,0.000842689,0.000842689
5,35.2886,1.73101,1.46239,1.029,0.07379,0.69582,0.37713,0.25748,1.35888,2.61986,0.94908,0.00105652,0.00105652,0.00105652
6,41.8805,1.625,1.38674,1.02338,0.67192,0.34637,0.54163,0.37449,1.26989,2.05407,0.93987,0.00127005,0.00127005,0.00127005
7,48.386,1.57168,1.28675,1.01546,0.63967,0.54585,0.64394,0.43073,1.27178,1.55313,0.95077,0.00142615,0.00142615,0.00142615
8,54.9018,1.53245,1.25322,0.99217,0.6428,0.61425,0.66262,0.45978,1.19538,1.37771,0.92944,0.00142512,0.00142512,0.00142512
9,62.3597,1.53553,1.21213,0.98926,0.72119,0.71222,0.75238,0.52208,1.16505,1.14929,0.92476,0.00142393,0.00142393,0.00142393
10,69.0534,1.56418,1.21417,0.98812,0.84054,0.73545,0.79626,0.54239,1.18426,0.96776,0.92693,0.00142258,0.00142258,0.00142258
11,75.4141,1.48121,1.1475,0.96332,0.83285,0.76124,0.80473,0.56593,1.06592,0.86891,0.90069,0.00142108,0.00142108,0.00142108
12,81.6921,1.46156,1.14186,0.97346,0.86838,0.76644,0.83648,0.59339,1.04224,0.83895,0.88914,0.00141942,0.00141942,0.00141942
13,87.9289,1.41841,1.11441,0.96174,0.8509,0.77935,0.83643,0.5868,1.05822,0.81216,0.89334,0.00141761,0.00141761,0.00141761
14,94.2507,1.42724,1.10408,0.95229,0.87548,0.77984,0.84301,0.59469,1.07048,0.83344,0.90649,0.00141564,0.00141564,0.00141564
15,100.582,1.37759,1.04988,0.94455,0.85206,0.75685,0.84272,0.59535,1.03723,0.8096,0.9017,0.00141351,0.00141351,0.00141351
16,106.913,1.37072,1.0708,0.95472,0.87198,0.77085,0.85216,0.60918,1.01544,0.77753,0.88812,0.00141123,0.00141123,0.00141123
17,113.215,1.42765,1.12475,0.98628,0.85085,0.78889,0.84548,0.58513,1.06928,0.80288,0.90933,0.0014088,0.0014088,0.0014088
18,119.546,1.43796,1.04884,0.94409,0.85942,0.78988,0.83801,0.5931,1.05408,0.76545,0.89966,0.00140621,0.00140621,0.00140621
19,126.606,1.37366,1.04536,0.95668,0.8736,0.82162,0.85101,0.61102,1.0147,0.74618,0.89446,0.00140347,0.00140347,0.00140347
20,133.25,1.33529,1.07197,0.95372,0.87049,0.78297,0.84167,0.59342,1.07384,0.79868,0.89572,0.00140057,0.00140057,0.00140057
21,139.556,1.37445,1.02497,0.94331,0.86802,0.8015,0.86009,0.60138,1.04495,0.78639,0.90192,0.00139753,0.00139753,0.00139753
22,145.868,1.34793,0.99028,0.92944,0.84951,0.78713,0.84922,0.60508,1.01383,0.77896,0.89766,0.00139433,0.00139433,0.00139433
23,152.275,1.37374,1.02406,0.94313,0.82492,0.81766,0.85676,0.62004,1.00556,0.75327,0.88685,0.00139098,0.00139098,0.00139098
24,158.571,1.33735,0.99302,0.9348,0.86859,0.83248,0.86754,0.62275,0.99821,0.74523,0.89534,0.00138749,0.00138749,0.00138749
25,164.852,1.30355,0.97588,0.93509,0.89613,0.79952,0.86935,0.62614,0.98246,0.72855,0.8894,0.00138384,0.00138384,0.00138384
