epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.38,2.39314,3.05891,1.46636,0.43974,0.22707,0.14998,0.0607,2.0373,1.94942,1.25496,0.00996587,0.00332196,0.00996587,0.00332196,0.00996587,0.00332196,0.00996587,0.00332196
2,190.021,2.01427,2.11718,1.24821,0.47617,0.26218,0.20148,0.08428,1.94724,1.94893,1.21213,0.0199648,0.00665492,0.0199648,0.00665492,0.0199648,0.00665492,0.0199648,0.00665492
3,275.229,2.03528,1.99806,1.26888,0.54064,0.22739,0.18979,0.07861,1.94294,2.24353,1.2853,0.0299592,0.00998641,0.0299592,0.00998641,0.0299592,0.00998641,0.0299592,0.00998641
4,359.061,2.04841,1.92672,1.272,0.52174,0.2227,0.19749,0.08208,1.8817,2.00538,1.24516,0.029985,0.009995,0.029985,0.009995,0.029985,0.009995,0.029985,0.009995
5,440.209,1.981,1.83183,1.258,0.41223,0.1528,0.10503,0.0475,1.98474,2.46279,1.35633,0.0299734,0.00999112,0.0299734,0.00999112,0.0299734,0.00999112,0.0299734,0.00999112
6,520.074,1.92883,1.77681,1.23868,0.40882,0.36348,0.32057,0.12954,1.82199,1.70962,1.16878,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613
7,600.472,1.90552,1.72369,1.22025,0.36562,0.2877,0.24028,0.09649,1.82887,1.77603,1.17973,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003
8,679.478,1.87924,1.6912,1.21098,0.44344,0.3441,0.32617,0.13272,1.78114,1.69575,1.1413,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282
9,757.925,1.86302,1.654,1.20258,0.40984,0.40107,0.34347,0.14242,1.74272,1.72277,1.13476,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452
10,839.622,1.84477,1.64203,1.19373,0.37358,0.35514,0.29175,0.12991,1.76588,1.6933,1.18566,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511
11,920.322,1.82706,1.62787,1.1853,0.41158,0.40514,0.35111,0.14493,1.73348,1.55803,1.12855,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446
