epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2884,1.40858,1.29484,1.62015,0.65726,0.71393,0.71704,0.44212,1.43482,1.14513,1.65266,0.000331481,0.000331481,0.000331481
2,119.417,1.35398,1.22542,1.55506,0.63745,0.72244,0.73518,0.44557,1.41694,1.16878,1.65748,0.000664667,0.000664667,0.000664667
3,173.632,1.34482,1.24189,1.54078,0.65765,0.71552,0.74616,0.4519,1.42035,1.16198,1.62875,0.000997262,0.000997262,0.000997262
4,227.672,1.32016,1.21461,1.51935,0.65162,0.68307,0.71507,0.42648,1.45666,1.24188,1.67127,0.000998003,0.000998003,0.000998003
5,281.881,1.32524,1.24055,1.51877,0.7268,0.6826,0.75255,0.44435,1.42599,1.15208,1.64853,0.000996452,0.000996452,0.000996452
6,335.712,1.33157,1.23308,1.51326,0.66235,0.72357,0.7415,0.44459,1.42177,1.14938,1.64457,0.00099446,0.00099446,0.00099446
7,390.175,1.29962,1.21732,1.50052,0.61668,0.66793,0.69582,0.4013,1.50002,1.28311,1.70266,0.000992029,0.000992029,0.000992029
8,57935.4,1.30047,1.21234,1.50445,0.64687,0.62303,0.67139,0.35992,1.61714,1.49271,1.82756,0.000989163,0.000989163,0.000989163
9,58014.6,1.3065,1.21892,1.50505,0.63577,0.63595,0.68554,0.38192,1.59315,1.42705,1.77358,0.000985862,0.000985862,0.000985862
10,58069.5,1.31065,1.21629,1.50903,0.60727,0.65,0.67913,0.37773,1.57394,1.38929,1.77948,0.000982132,0.000982132,0.000982132
11,58123,1.3132,1.20507,1.50047,0.66708,0.67145,0.7042,0.40446,1.50662,1.28804,1.70406,0.000977975,0.000977975,0.000977975
12,58176.2,1.29662,1.20603,1.50105,0.67017,0.63026,0.67984,0.37565,1.59583,1.47406,1.8238,0.000973396,0.000973396,0.000973396
13,58230.2,1.29666,1.19229,1.49134,0.6551,0.651,0.70955,0.40782,1.5028,1.28677,1.72419,0.000968399,0.000968399,0.000968399
14,58283.8,1.30245,1.19007,1.49422,0.67678,0.72781,0.75748,0.45581,1.427,1.14078,1.63112,0.00096299,0.00096299,0.00096299
15,58337.7,1.31253,1.20153,1.50104,0.68556,0.69239,0.73211,0.43712,1.44667,1.19656,1.66426,0.000957172,0.000957172,0.000957172
16,58391.5,1.3003,1.18441,1.48356,0.65914,0.71441,0.75276,0.44475,1.42429,1.1429,1.63599,0.000950953,0.000950953,0.000950953
17,58444.7,1.30953,1.2039,1.50026,0.69271,0.6439,0.69838,0.39952,1.50701,1.33624,1.68953,0.000944338,0.000944338,0.000944338
18,58498.2,1.29943,1.20968,1.49554,0.62878,0.59258,0.63578,0.34813,1.64834,1.54923,1.8284,0.000937334,0.000937334,0.000937334
19,58552.1,1.29016,1.19813,1.48922,0.752,0.67926,0.75134,0.45399,1.3978,1.14196,1.62006,0.000929948,0.000929948,0.000929948
20,58606.3,1.29649,1.19219,1.48652,0.74985,0.70887,0.76758,0.45544,1.43269,1.10578,1.62901,0.000922186,0.000922186,0.000922186
21,58660.2,1.28394,1.19185,1.47464,0.71676,0.68583,0.75931,0.45729,1.40664,1.1325,1.62142,0.000914058,0.000914058,0.000914058
22,58714.5,1.28941,1.18432,1.48071,0.70494,0.70082,0.75427,0.44016,1.44108,1.18635,1.64115,0.00090557,0.00090557,0.00090557
23,58767.8,1.30245,1.2034,1.49523,0.64329,0.64292,0.67076,0.38296,1.51646,1.4386,1.72634,0.000896731,0.000896731,0.000896731
24,58821.9,1.25936,1.15828,1.46895,0.70634,0.70328,0.75802,0.44898,1.4387,1.14426,1.65142,0.00088755,0.00088755,0.00088755
25,58875.8,1.2728,1.16547,1.47026,0.74805,0.65867,0.74743,0.44404,1.41567,1.14598,1.63402,0.000878036,0.000878036,0.000878036
26,58929.8,1.26861,1.17248,1.47378,0.67048,0.72252,0.76342,0.4543,1.41899,1.12782,1.63035,0.000868198,0.000868198,0.000868198
27,58983.6,1.27526,1.16037,1.47324,0.69776,0.71678,0.7583,0.44806,1.42613,1.13604,1.6445,0.000858046,0.000858046,0.000858046
28,59037.3,1.281,1.16383,1.47593,0.66514,0.71214,0.75257,0.44616,1.43932,1.16,1.64929,0.00084759,0.00084759,0.00084759
29,59090.9,1.26801,1.16044,1.47553,0.71925,0.7183,0.76353,0.45155,1.41716,1.12666,1.62919,0.000836841,0.000836841,0.000836841
30,59144.9,1.27362,1.16216,1.47102,0.67724,0.71785,0.76748,0.4566,1.39701,1.11823,1.62455,0.000825808,0.000825808,0.000825808
31,59198.8,1.27715,1.18203,1.4788,0.7153,0.71744,0.77419,0.46184,1.40369,1.10758,1.62026,0.000814503,0.000814503,0.000814503
32,59252.8,1.27354,1.15535,1.4759,0.72041,0.70877,0.76895,0.44988,1.43758,1.13939,1.65026,0.000802938,0.000802938,0.000802938
