epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,113.492,1.74331,2.71593,1.7978,1.39105,0,0.59691,0.34906,0.31757,0.13386,0.52571,0.30579,0.26107,0.09764,2.17131,2.74267,2.13659,1.41978,0,0.000332687,0.000332687,0.067064
2,216.541,1.68201,2.60406,1.7153,1.35462,0,0.41711,0.41672,0.37289,0.15996,0.35087,0.34993,0.31142,0.11722,2.08208,2.69104,1.81101,1.35922,0,0.00066598,0.00066598,0.0340639
3,317.722,1.65593,2.56073,1.67738,1.3384,0,0.41542,0.38643,0.36308,0.15777,0.40439,0.35032,0.31417,0.12133,2.05555,2.60153,1.7551,1.35281,0,0.00099911,0.00099911,0.00106371
4,417.375,1.63299,2.53768,1.65739,1.32555,0,0.43088,0.40454,0.35865,0.15608,0.3999,0.36422,0.32246,0.12379,2.08571,2.58042,1.78669,1.36589,0,0.00099945,0.00099945,0.00099945
5,517.801,1.62603,2.52424,1.63325,1.32327,0,0.47559,0.39409,0.41049,0.17379,0.4357,0.36722,0.35687,0.13339,2.05129,2.60081,1.70962,1.33612,0,0.000999023,0.000999023,0.000999023
6,618.187,1.61144,2.50455,1.61038,1.31287,0,0.42721,0.42407,0.36652,0.15675,0.33955,0.3568,0.30003,0.11502,2.07295,2.64165,1.70632,1.32746,0,0.000998474,0.000998474,0.000998474
7,717.904,1.60885,2.49519,1.60783,1.30476,0,0.39835,0.43639,0.39842,0.17182,0.3519,0.41892,0.32881,0.12331,2.04334,2.63783,1.69006,1.33673,0,0.000997803,0.000997803,0.000997803
8,818.041,1.60361,2.46228,1.59679,1.29924,0,0.45111,0.43951,0.40476,0.1798,0.4209,0.41735,0.36462,0.13606,2.03456,2.51777,1.67864,1.33615,0,0.000997011,0.000997011,0.000997011
9,917.852,1.5913,2.47479,1.5865,1.29622,0,0.43169,0.45566,0.39238,0.17323,0.40049,0.42883,0.34866,0.1336,2.03737,2.54838,1.70456,1.32412,0,0.000996097,0.000996097,0.000996097
10,1019.08,1.58227,2.44601,1.57088,1.29233,0,0.4117,0.39933,0.38624,0.1646,0.33082,0.41544,0.30551,0.11898,2.06396,2.60255,1.76162,1.31863,0,0.000995062,0.000995062,0.000995062
11,1118.32,1.58208,2.45027,1.57648,1.28887,0,0.37973,0.42578,0.37982,0.15809,0.34538,0.40609,0.31627,0.11865,2.08467,2.59721,1.733,1.33583,0,0.000993906,0.000993906,0.000993906
12,1219.74,1.57653,2.44417,1.55068,1.2827,0,0.39169,0.44827,0.38139,0.16956,0.37348,0.36623,0.32287,0.12729,2.06075,2.52359,1.69707,1.32919,0,0.000992629,0.000992629,0.000992629
13,1318.47,1.57306,2.43495,1.55385,1.28272,0,0.41875,0.44243,0.42159,0.18568,0.33438,0.45664,0.37173,0.14455,2.03719,2.49916,1.6141,1.31904,0,0.000991232,0.000991232,0.000991232
14,1442.78,1.58529,2.4527,1.54752,1.2857,0,0.45293,0.40343,0.38971,0.16664,0.35442,0.38475,0.32551,0.12423,2.04747,2.58706,1.66588,1.32281,0,0.000989715,0.000989715,0.000989715
15,1542.35,1.56878,2.42689,1.54734,1.27938,0,0.42008,0.41019,0.36968,0.16317,0.37652,0.37125,0.308,0.11816,2.04655,2.54979,1.70953,1.3296,0,0.000988079,0.000988079,0.000988079
16,1642.14,1.5649,2.42049,1.5396,1.27391,0,0.3611,0.46749,0.38738,0.16468,0.36858,0.36445,0.33881,0.13149,2.07219,2.54859,1.68594,1.3143,0,0.000986323,0.000986323,0.000986323
17,1743.03,1.5519,2.40708,1.52412,1.27967,0,0.41609,0.40008,0.41087,0.18511,0.34979,0.45727,0.35667,0.13736,2.01707,2.51149,1.65661,1.29215,0,0.000984449,0.000984449,0.000984449
18,1842.21,1.55206,2.40579,1.52353,1.27124,0,0.41726,0.44861,0.39837,0.17779,0.3968,0.36702,0.33309,0.1302,2.02508,2.52332,1.65825,1.31431,0,0.000982456,0.000982456,0.000982456
19,1942.39,1.55203,2.4091,1.51775,1.26956,0,0.46549,0.42145,0.40228,0.1793,0.38288,0.36542,0.3256,0.12642,2.02327,2.5315,1.66946,1.30672,0,0.000980345,0.000980345,0.000980345
20,2041.83,1.54798,2.40194,1.50992,1.26702,0,0.42369,0.45412,0.40255,0.17047,0.29234,0.39378,0.3048,0.11612,2.04993,2.55105,1.71419,1.30922,0,0.000978118,0.000978118,0.000978118
21,2142.71,1.54267,2.39851,1.49231,1.26868,0,0.44095,0.45203,0.41547,0.18515,0.38388,0.39049,0.33404,0.13158,1.98798,2.49665,1.69391,1.30629,0,0.000975773,0.000975773,0.000975773
22,2241.87,1.5359,2.38921,1.48384,1.26945,0,0.41901,0.42571,0.39926,0.18177,0.42526,0.37929,0.34273,0.13455,2.04146,2.53073,1.63616,1.31776,0,0.000973312,0.000973312,0.000973312
23,2342.96,1.54169,2.39681,1.50018,1.26491,0,0.473,0.42777,0.41213,0.18157,0.37732,0.39565,0.34058,0.12613,2.00015,2.51523,1.66613,1.30989,0,0.000970736,0.000970736,0.000970736
24,2441.88,1.52418,2.37226,1.47773,1.25733,0,0.45511,0.42598,0.40174,0.17897,0.38085,0.38367,0.32308,0.12282,2.03726,2.54666,1.65147,1.31624,0,0.000968045,0.000968045,0.000968045
25,2543.18,1.53597,2.38412,1.49086,1.26311,0,0.44038,0.45155,0.41908,0.19011,0.32265,0.4464,0.34699,0.13274,1.99113,2.50092,1.61547,1.29632,0,0.000965239,0.000965239,0.000965239
26,2642.4,1.52549,2.3674,1.47901,1.25243,0,0.48028,0.4211,0.40713,0.17236,0.30302,0.41948,0.33184,0.12516,2.01611,2.49283,1.63008,1.30178,0,0.00096232,0.00096232,0.00096232
27,2743.36,1.5212,2.35947,1.45851,1.24979,0,0.43176,0.41569,0.41332,0.18307,0.38246,0.38291,0.35078,0.13609,2.00358,2.5313,1.56649,1.29794,0,0.000959289,0.000959289,0.000959289
28,2842.12,1.53017,2.37537,1.48245,1.25932,0,0.50645,0.43534,0.43411,0.19336,0.36605,0.44155,0.36356,0.13895,1.98918,2.4602,1.60686,1.30252,0,0.000956145,0.000956145,0.000956145
29,2942.92,1.52953,2.38276,1.4724,1.25045,0,0.43529,0.46263,0.41233,0.18219,0.37021,0.40233,0.34089,0.13037,1.99086,2.48565,1.59514,1.28764,0,0.000952889,0.000952889,0.000952889
30,3041.86,1.51673,2.35651,1.45101,1.25334,0,0.46528,0.44932,0.41695,0.18374,0.41415,0.35493,0.33198,0.12934,1.99733,2.48827,1.6306,1.3018,0,0.000949524,0.000949524,0.000949524
31,3142.16,1.5127,2.35219,1.44688,1.2503,0,0.44201,0.43933,0.42377,0.18908,0.36451,0.4159,0.33836,0.13185,1.9764,2.47449,1.58108,1.2963,0,0.000946048,0.000946048,0.000946048
32,3241.48,1.51862,2.37446,1.45174,1.24685,0,0.48333,0.41006,0.41229,0.18357,0.35752,0.40226,0.34757,0.13412,2.03279,2.49375,1.59167,1.30712,0,0.000942464,0.000942464,0.000942464
33,3342.2,1.52201,2.34894,1.44762,1.24606,0,0.48636,0.45231,0.43625,0.19617,0.3624,0.39598,0.34496,0.13107,2.00091,2.57368,1.55493,1.30182,0,0.000938772,0.000938772,0.000938772
34,3440.73,1.50217,2.3307,1.43128,1.24148,0,0.43423,0.3986,0.40231,0.17874,0.34888,0.43447,0.34885,0.13616,2.00464,2.48993,1.59558,1.30029,0,0.000934973,0.000934973,0.000934973
35,3542.01,1.51648,2.34967,1.44588,1.24683,0,0.47441,0.49315,0.43174,0.18436,0.38508,0.41449,0.34372,0.1317,2.00353,2.49697,1.58405,1.30772,0,0.000931067,0.000931067,0.000931067
36,3641.27,1.49463,2.32509,1.42737,1.24314,0,0.44451,0.44362,0.41628,0.18534,0.3733,0.43381,0.34777,0.13774,2.0355,2.50321,1.5941,1.31524,0,0.000927057,0.000927057,0.000927057
37,3741.83,1.50646,2.33055,1.43667,1.24277,0,0.47405,0.45044,0.42354,0.18579,0.39693,0.42067,0.34996,0.13705,1.9949,2.45808,1.59677,1.30132,0,0.000922942,0.000922942,0.000922942
38,3840.93,1.50374,2.33117,1.42787,1.24676,0,0.45104,0.48232,0.4222,0.18259,0.34962,0.33351,0.32428,0.12673,1.98859,2.51811,1.59639,1.28965,0,0.000918725,0.000918725,0.000918725
39,3941.74,1.499,2.33337,1.42644,1.24294,0,0.44908,0.45486,0.42356,0.18853,0.35904,0.39818,0.3393,0.13354,1.99267,2.49102,1.56583,1.307,0,0.000914405,0.000914405,0.000914405
40,4041.03,1.49708,2.33281,1.42102,1.23943,0,0.45752,0.45664,0.42518,0.18837,0.36247,0.41136,0.3443,0.13514,1.98607,2.4683,1.57121,1.29804,0,0.000909984,0.000909984,0.000909984
41,4141.41,1.4962,2.32324,1.42809,1.2408,0,0.44444,0.47942,0.43745,0.18882,0.33513,0.41023,0.34843,0.13772,2.02944,2.47201,1.57124,1.31373,0,0.000905463,0.000905463,0.000905463
42,4241.09,1.48958,2.32071,1.41339,1.24292,0,0.49196,0.45063,0.44081,0.19116,0.37176,0.45857,0.35734,0.13735,1.98196,2.47083,1.54762,1.29254,0,0.000900844,0.000900844,0.000900844
43,4340.77,1.50042,2.34757,1.42676,1.23807,0,0.41254,0.47828,0.42127,0.18919,0.37677,0.41829,0.35933,0.14207,1.98134,2.46506,1.54903,1.2872,0,0.000896127,0.000896127,0.000896127
44,4440.51,1.47116,2.31001,1.39462,1.23479,0,0.40653,0.46902,0.4273,0.18993,0.31914,0.37018,0.33646,0.13338,2.01162,2.51034,1.57113,1.29854,0,0.000891313,0.000891313,0.000891313
45,4540.19,1.49328,2.30203,1.40184,1.23275,0,0.47899,0.46732,0.43474,0.19235,0.42513,0.40545,0.34567,0.13349,1.99265,2.49427,1.58833,1.29612,0,0.000886404,0.000886404,0.000886404
46,4640.18,1.47673,2.30327,1.39844,1.23231,0,0.44335,0.44298,0.43319,0.19481,0.44001,0.38853,0.36865,0.14181,1.98216,2.46757,1.55101,1.2858,0,0.000881401,0.000881401,0.000881401
47,4739.3,1.47832,2.28444,1.40025,1.22968,0,0.45847,0.43756,0.42283,0.1959,0.42256,0.37866,0.35939,0.14028,1.99288,2.52266,1.53592,1.2999,0,0.000876305,0.000876305,0.000876305
48,4840,1.48133,2.29622,1.39091,1.23308,0,0.44109,0.44384,0.43028,0.19789,0.36767,0.43757,0.36845,0.14227,1.9633,2.47843,1.54667,1.29029,0,0.000871117,0.000871117,0.000871117
49,4939.26,1.47559,2.28658,1.38177,1.2284,0,0.42546,0.45452,0.42408,0.19933,0.35987,0.42926,0.36945,0.14328,1.9768,2.44806,1.56206,1.28644,0,0.000865839,0.000865839,0.000865839
50,5039.09,1.48974,2.30883,1.39404,1.23359,0,0.47688,0.47841,0.4422,0.20766,0.41413,0.41947,0.37374,0.14537,1.95971,2.46581,1.52465,1.29294,0,0.000860473,0.000860473,0.000860473
51,5138.59,1.47278,2.27052,1.37678,1.23722,0,0.43791,0.46108,0.41766,0.19322,0.3556,0.36866,0.34509,0.13859,1.99719,2.47261,1.55769,1.29089,0,0.000855018,0.000855018,0.000855018
