epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8539,1.69808,2.63596,1.73551,1.40716,0,0.43677,0.46882,0.39526,0.17205,0.34912,0.42851,0.3468,0.13373,2.05205,2.55819,1.6427,1.35049,0,0.00332629,0.00332629,0.0700634
2,173.672,1.63387,2.52969,1.62879,1.33515,0,0.38026,0.47267,0.37586,0.16822,0.33033,0.44492,0.3499,0.13815,2.04295,2.55872,1.67175,1.34741,0,0.00665925,0.00665925,0.0400631
3,256.055,1.63745,2.51291,1.64351,1.33659,0,0.41329,0.43985,0.38421,0.1658,0.38229,0.41619,0.35892,0.14256,2.11573,2.57369,1.72801,1.35456,0,0.00999073,0.00999073,0.0100612
4,337.675,1.66927,2.53506,1.68688,1.3441,0,0.39462,0.30607,0.26575,0.11555,0.34361,0.28691,0.23345,0.08793,2.22549,2.77636,2.09319,1.42474,0,0.009995,0.009995,0.009995
5,418.826,1.63933,2.52963,1.66398,1.32875,0,0.41521,0.40688,0.34715,0.14955,0.37675,0.35601,0.30621,0.11647,2.15771,2.6868,1.81868,1.39031,0,0.00999112,0.00999112,0.00999112
6,500.484,1.64137,2.53539,1.652,1.32885,0,0.42458,0.39543,0.33913,0.14249,0.39706,0.36331,0.32095,0.11975,2.15902,2.611,1.84659,1.3684,0,0.00998613,0.00998613,0.00998613
7,582.556,1.64199,2.51787,1.6385,1.31413,0,0.41977,0.38949,0.34388,0.14623,0.3467,0.3941,0.31831,0.11834,2.16263,2.68551,1.84547,1.3958,0,0.00998003,0.00998003,0.00998003
8,663.794,1.63212,2.49303,1.63286,1.31545,0,0.42275,0.4241,0.37758,0.15976,0.37669,0.37551,0.31926,0.12107,2.0959,2.71061,1.74361,1.36773,0,0.00997282,0.00997282,0.00997282
9,744.975,1.61811,2.50028,1.62191,1.3127,0,0.46884,0.4098,0.37556,0.16879,0.31317,0.42415,0.32442,0.12931,2.07403,2.60616,1.70543,1.35368,0,0.00996452,0.00996452,0.00996452
10,825.615,1.63481,2.51223,1.63302,1.31623,0,0.28378,0.28662,0.19307,0.07493,0.26045,0.27725,0.18497,0.06672,2.34846,3.03077,2.1827,1.4625,0,0.00995511,0.00995511,0.00995511
11,907.583,1.61908,2.47124,1.61395,1.30885,0,0.35806,0.41423,0.34377,0.15238,0.32434,0.42725,0.29865,0.10868,2.12073,2.68052,1.81951,1.38464,0,0.0099446,0.0099446,0.0099446
12,989.751,1.60762,2.48643,1.60765,1.30445,0,0.35536,0.39066,0.35826,0.16213,0.37393,0.42979,0.32712,0.12813,2.07468,2.53211,1.70948,1.3611,0,0.00993299,0.00993299,0.00993299
13,1070.86,1.61649,2.48756,1.60944,1.29869,0,0.34551,0.33049,0.27776,0.11289,0.3915,0.3771,0.30497,0.10826,2.2631,2.71755,1.88203,1.40056,0,0.00992029,0.00992029,0.00992029
14,1152.33,1.61901,2.46737,1.59501,1.2964,0,0.42966,0.41921,0.3922,0.16852,0.3914,0.40671,0.34571,0.12853,2.07818,2.59802,1.71186,1.35744,0,0.0099065,0.0099065,0.0099065
15,1238.98,1.60431,2.47065,1.59492,1.29432,0,0.466,0.30744,0.2986,0.11124,0.39958,0.29553,0.25378,0.0866,2.24895,2.81623,1.9851,1.41274,0,0.00989163,0.00989163,0.00989163
16,1333.99,1.60337,2.45422,1.59192,1.29296,0,0.40412,0.37227,0.33367,0.14752,0.30547,0.29084,0.27645,0.10276,2.09663,2.61147,1.84633,1.34757,0,0.00987566,0.00987566,0.00987566
17,1428.42,1.60105,2.45355,1.58835,1.29344,0,0.41349,0.42468,0.39768,0.17417,0.37421,0.40448,0.33485,0.12978,2.06812,2.58993,1.69532,1.34307,0,0.00985862,0.00985862,0.00985862
18,1523.32,1.59696,2.45076,1.584,1.29566,0,0.39438,0.42852,0.36689,0.15735,0.38555,0.38404,0.32314,0.12177,2.13531,2.57274,1.70449,1.34797,0,0.00984051,0.00984051,0.00984051
19,1618.1,1.59329,2.45513,1.57872,1.29043,0,0.42031,0.39116,0.36507,0.16041,0.33092,0.37413,0.29373,0.11589,2.05485,2.59975,1.72258,1.33778,0,0.00982132,0.00982132,0.00982132
20,1712.67,1.59071,2.45274,1.57449,1.2905,0,0.43999,0.42554,0.37916,0.16304,0.38711,0.3841,0.31958,0.11979,2.08506,2.58369,1.74772,1.34769,0,0.00980107,0.00980107,0.00980107
21,1807.66,1.57958,2.44788,1.56061,1.28665,0,0.37892,0.31757,0.27025,0.11744,0.39991,0.3416,0.28344,0.10403,2.19502,2.69058,1.99926,1.40111,0,0.00977975,0.00977975,0.00977975
22,1901.7,1.60083,2.43585,1.55542,1.28945,0,0.40035,0.45049,0.37719,0.16294,0.34776,0.4191,0.32574,0.12477,2.08298,2.58298,1.73203,1.33103,0,0.00975738,0.00975738,0.00975738
