epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,178.002,1.78845,2.58216,1.71868,1.383,0,0.65897,0.36064,0.3815,0.16676,0.62608,0.31334,0.32224,0.12037,2.13924,2.40364,1.73808,1.38131,0,0.000332687,0.000332687,0.067064
2,348.657,1.74163,2.45526,1.64445,1.35644,0,0.44297,0.4017,0.37543,0.16547,0.41823,0.38416,0.33589,0.12598,2.08923,2.28031,1.76484,1.39281,0,0.00066598,0.00066598,0.0340639
3,517.008,1.72985,2.44567,1.6101,1.34058,0,0.48619,0.42295,0.39535,0.17248,0.41515,0.37809,0.33236,0.12521,2.06981,2.30379,1.65696,1.3435,0,0.00099911,0.00099911,0.00106371
4,685.032,1.69144,2.39448,1.57959,1.32412,0,0.39597,0.44881,0.38643,0.16806,0.36827,0.38769,0.33192,0.12406,2.0388,2.28512,1.62936,1.33794,0,0.00099945,0.00099945,0.00099945
5,852.685,1.69039,2.40357,1.58172,1.32228,0,0.43397,0.44528,0.39147,0.1724,0.43731,0.37182,0.34082,0.12518,2.06106,2.24914,1.6284,1.34032,0,0.000999023,0.000999023,0.000999023
6,1020.81,1.67666,2.38774,1.56097,1.30994,0,0.41739,0.43024,0.39697,0.17436,0.36922,0.38702,0.32947,0.12707,2.03059,2.21435,1.63627,1.32898,0,0.000998474,0.000998474,0.000998474
7,1188.35,1.65971,2.3483,1.55031,1.30656,0,0.47634,0.43849,0.4175,0.18449,0.46946,0.38641,0.36221,0.13476,2.05029,2.29511,1.62395,1.33057,0,0.000997803,0.000997803,0.000997803
8,1356.56,1.66379,2.35684,1.5178,1.30349,0,0.4494,0.45573,0.40765,0.17956,0.40833,0.40748,0.34074,0.12511,2.07923,2.29441,1.6589,1.34286,0,0.000997011,0.000997011,0.000997011
9,1525.24,1.64688,2.33607,1.52244,1.29491,0,0.39815,0.41947,0.37834,0.16526,0.35349,0.35811,0.31392,0.1183,2.05893,2.33328,1.72035,1.33992,0,0.000996097,0.000996097,0.000996097
10,1692.56,1.66048,2.32592,1.52369,1.28622,0,0.42469,0.44432,0.40232,0.18243,0.36897,0.36392,0.33319,0.13114,2.01145,2.25325,1.60076,1.31138,0,0.000995062,0.000995062,0.000995062
11,1860.9,1.64403,2.33234,1.51258,1.29583,0,0.49797,0.45042,0.43044,0.19628,0.43719,0.37028,0.35219,0.13492,1.99372,2.24435,1.56503,1.30841,0,0.000993906,0.000993906,0.000993906
12,2028.11,1.64024,2.32708,1.50066,1.28927,0,0.46545,0.45546,0.4115,0.18338,0.40636,0.4274,0.34373,0.12634,2.02516,2.21715,1.60316,1.34125,0,0.000992629,0.000992629,0.000992629
13,2195.83,1.64297,2.32173,1.49486,1.2912,0,0.42354,0.46528,0.41934,0.18357,0.39589,0.40438,0.35151,0.13211,2.02326,2.24449,1.55418,1.32305,0,0.000991232,0.000991232,0.000991232
14,2363.38,1.62926,2.33405,1.48551,1.28455,0,0.47628,0.45505,0.43819,0.18789,0.42643,0.40383,0.35794,0.13456,2.03458,2.19819,1.56579,1.32938,0,0.000989715,0.000989715,0.000989715
15,2531.65,1.62418,2.32223,1.47546,1.28353,0,0.51883,0.44547,0.43928,0.1924,0.45588,0.40694,0.37334,0.13553,2.01227,2.26162,1.57818,1.31834,0,0.000988079,0.000988079,0.000988079
16,2699.65,1.62631,2.31473,1.47595,1.27193,0,0.50668,0.42324,0.42745,0.1888,0.46208,0.37317,0.35306,0.12949,2.02973,2.20712,1.61937,1.32948,0,0.000986323,0.000986323,0.000986323
17,2868.13,1.6256,2.3116,1.47399,1.28168,0,0.43856,0.47409,0.43515,0.19461,0.40515,0.41092,0.3671,0.14101,2.0113,2.25602,1.57528,1.31172,0,0.000984449,0.000984449,0.000984449
18,3037.24,1.61347,2.3092,1.46802,1.27333,0,0.46928,0.44935,0.43133,0.19287,0.4286,0.40516,0.37332,0.14019,2.01178,2.19711,1.54757,1.3193,0,0.000982456,0.000982456,0.000982456
19,3205.31,1.60684,2.28092,1.44846,1.27463,0,0.47137,0.4533,0.42864,0.1856,0.38011,0.39554,0.35607,0.13332,2.03083,2.33399,1.58301,1.3317,0,0.000980345,0.000980345,0.000980345
20,3373.1,1.6112,2.29269,1.44333,1.27373,0,0.54819,0.4455,0.42583,0.18307,0.40874,0.37566,0.33887,0.12722,2.0127,2.24832,1.58101,1.31456,0,0.000978118,0.000978118,0.000978118
21,3540.76,1.61022,2.28652,1.4467,1.27695,0,0.43227,0.50741,0.42844,0.19033,0.39253,0.44276,0.35781,0.13608,2.02535,2.27036,1.56296,1.31679,0,0.000975773,0.000975773,0.000975773
22,3709.08,1.60294,2.28524,1.44436,1.26816,0,0.44793,0.41489,0.39992,0.17826,0.39186,0.37901,0.33996,0.1233,2.03456,2.19977,1.58935,1.32524,0,0.000973312,0.000973312,0.000973312
23,3876.58,1.6001,2.29811,1.43733,1.26602,0,0.40945,0.47929,0.44179,0.19349,0.37071,0.42421,0.38216,0.13917,2.01291,2.18697,1.57153,1.31497,0,0.000970736,0.000970736,0.000970736
24,4043.96,1.59827,2.27094,1.44653,1.25889,0,0.45175,0.40334,0.39568,0.18114,0.43865,0.3609,0.34306,0.13327,2.02433,2.24119,1.6101,1.31188,0,0.000968045,0.000968045,0.000968045
25,4211.22,1.59167,2.27311,1.43259,1.26871,0,0.41042,0.47672,0.43158,0.19199,0.35744,0.42672,0.35731,0.13411,2.00912,2.23307,1.54358,1.30171,0,0.000965239,0.000965239,0.000965239
