epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,189.012,1.68339,2.58793,1.72032,1.38403,0,0.47152,0.45046,0.38406,0.17289,0.50746,0.35638,0.33775,0.12915,2.03315,2.28656,1.67977,1.33746,0,0.00332687,0.00332687,0.0700581
2,372.987,1.64365,2.49746,1.64458,1.34097,0,0.41116,0.43581,0.38904,0.17522,0.40034,0.3959,0.35105,0.13189,2.05812,2.35432,1.70782,1.34939,0,0.00665984,0.00665984,0.0400578
3,555.38,1.63934,2.47807,1.64581,1.33625,0,0.38196,0.41339,0.37178,0.16708,0.39499,0.39792,0.33634,0.12503,2.06705,2.35264,1.73829,1.34476,0,0.00999132,0.00999132,0.0100559
4,737.331,1.64907,2.49178,1.66904,1.33883,0,0.37739,0.34944,0.30341,0.13097,0.35102,0.33609,0.26989,0.09594,2.2281,2.38367,1.86756,1.39899,0,0.009995,0.009995,0.009995
5,919.73,1.65527,2.49236,1.66627,1.33872,0,0.42392,0.38683,0.3479,0.15469,0.41426,0.36096,0.32124,0.12096,2.08445,2.48167,1.94705,1.36753,0,0.00999112,0.00999112,0.00999112
6,1100.88,1.63988,2.47083,1.63233,1.32841,0,0.18716,0.18984,0.08486,0.02949,0.17105,0.17255,0.07441,0.02324,2.52416,2.88534,2.60697,1.56698,0,0.00998613,0.00998613,0.00998613
7,1282.38,1.62763,2.4571,1.63559,1.31798,0,0.39126,0.44756,0.36738,0.16187,0.38225,0.38571,0.3198,0.11815,2.08992,2.31286,1.76875,1.36826,0,0.00998003,0.00998003,0.00998003
8,1463.84,1.63187,2.44304,1.62898,1.31668,0,0.3296,0.27842,0.23008,0.09443,0.31164,0.26903,0.20955,0.07428,2.31583,2.50778,2.02152,1.47945,0,0.00997282,0.00997282,0.00997282
9,1645.46,1.61475,2.43812,1.61559,1.30718,0,0.41744,0.40939,0.38446,0.16735,0.37788,0.36429,0.3326,0.12475,2.08242,2.33452,1.7346,1.3505,0,0.00996452,0.00996452,0.00996452
10,1827.5,1.61707,2.43765,1.61373,1.30803,0,0.39476,0.44451,0.36265,0.15331,0.34887,0.40606,0.31091,0.11815,2.08675,2.43326,1.7937,1.34273,0,0.00995511,0.00995511,0.00995511
11,2009.73,1.60916,2.43467,1.61516,1.30743,0,0.40747,0.40958,0.38404,0.16879,0.36629,0.35828,0.32215,0.1187,2.08006,2.31146,1.70531,1.33503,0,0.0099446,0.0099446,0.0099446
12,2192.17,1.59989,2.4286,1.59798,1.29843,0,0.38772,0.29453,0.25681,0.11192,0.30705,0.28927,0.20908,0.06961,2.26009,2.40351,2.1856,1.4388,0,0.00993299,0.00993299,0.00993299
13,2373.27,1.60115,2.41304,1.58929,1.29653,0,0.41261,0.39719,0.37512,0.16269,0.37928,0.36831,0.33682,0.12193,2.1277,2.36724,1.69657,1.36261,0,0.00992029,0.00992029,0.00992029
14,2554.97,1.61036,2.41919,1.59264,1.30018,0,0.41308,0.3718,0.35875,0.15636,0.38674,0.3393,0.29993,0.11034,2.04996,2.32631,1.76294,1.32887,0,0.0099065,0.0099065,0.0099065
15,2736.66,1.59774,2.40701,1.59023,1.29259,0,0.38153,0.4218,0.38275,0.16578,0.35238,0.38596,0.322,0.12287,2.11721,2.50247,1.70247,1.34095,0,0.00989163,0.00989163,0.00989163
16,2918.81,1.59104,2.41302,1.57732,1.28878,0,0.44591,0.40477,0.39506,0.17191,0.35855,0.36845,0.32233,0.12337,2.04557,2.28966,1.68708,1.32031,0,0.00987566,0.00987566,0.00987566
17,3100.86,1.58147,2.38428,1.5717,1.28969,0,0.36418,0.42427,0.37092,0.16175,0.31688,0.38066,0.32091,0.11912,2.08049,2.30329,1.73251,1.33627,0,0.00985862,0.00985862,0.00985862
18,3282.53,1.58367,2.39752,1.57187,1.28325,0,0.46117,0.3712,0.35214,0.14879,0.37793,0.32843,0.29103,0.10581,2.13534,2.32568,1.78495,1.3549,0,0.00984051,0.00984051,0.00984051
19,3464.67,1.58144,2.38419,1.56321,1.28404,0,0.63903,0.39151,0.39646,0.17225,0.59559,0.34101,0.33887,0.12322,2.07819,2.24839,1.68797,1.32708,0,0.00982132,0.00982132,0.00982132
20,3646.99,1.58168,2.39094,1.55851,1.28509,0,0.46721,0.41734,0.40185,0.17614,0.41929,0.37297,0.34309,0.12747,2.06165,2.37487,1.69954,1.33312,0,0.00980107,0.00980107,0.00980107
21,3828.31,1.57453,2.36993,1.54657,1.28695,0,0.43648,0.43836,0.3914,0.17045,0.41391,0.36913,0.32996,0.12475,2.05841,2.31182,1.69151,1.33849,0,0.00977975,0.00977975,0.00977975
22,4010.16,1.57232,2.3848,1.53949,1.28979,0,0.28034,0.22534,0.18507,0.07749,0.27407,0.19766,0.16512,0.0615,2.33335,2.48741,2.26357,1.47562,0,0.00975738,0.00975738,0.00975738
23,4192.29,1.57485,2.37813,1.54998,1.28381,0,0.39481,0.4462,0.38962,0.17479,0.33431,0.38666,0.31488,0.1175,2.05099,2.23035,1.69898,1.33438,0,0.00973396,0.00973396,0.00973396
24,4374.21,1.55827,2.36703,1.52811,1.2725,0,0.44605,0.3457,0.34614,0.14788,0.37368,0.33149,0.27001,0.08888,2.13316,2.31194,1.81266,1.3622,0,0.0097095,0.0097095,0.0097095
25,4556.71,1.56647,2.37697,1.5375,1.28361,0,0.44167,0.41605,0.41063,0.18377,0.40047,0.3748,0.35761,0.13682,2.02585,2.27524,1.60452,1.32491,0,0.00968399,0.00968399,0.00968399
26,4738.58,1.56157,2.34671,1.52354,1.27142,0,0.39782,0.4011,0.37327,0.16281,0.32922,0.38703,0.31545,0.12189,2.06117,2.36872,1.70448,1.32491,0,0.00965746,0.00965746,0.00965746
27,4919.91,1.55005,2.35788,1.51134,1.26891,0,0.45443,0.40937,0.40343,0.17692,0.4728,0.38117,0.36845,0.13992,2.0113,2.32927,1.62398,1.31606,0,0.0096299,0.0096299,0.0096299
28,5101.69,1.56298,2.36935,1.5315,1.27751,0,0.45553,0.42138,0.40321,0.17446,0.43197,0.3751,0.35574,0.12887,2.03124,2.28691,1.65766,1.32501,0,0.00960131,0.00960131,0.00960131
29,5283.59,1.56561,2.35996,1.52236,1.26956,0,0.43423,0.41137,0.3926,0.17472,0.37906,0.36398,0.32674,0.12412,2.01418,2.26272,1.6872,1.32247,0,0.00957172,0.00957172,0.00957172
30,5465.14,1.55561,2.35228,1.51276,1.27566,0,0.40391,0.4117,0.37085,0.16583,0.36262,0.38065,0.31489,0.11516,2.02775,2.25257,1.6684,1.32794,0,0.00954112,0.00954112,0.00954112
31,5646.6,1.54666,2.35121,1.50501,1.26694,0,0.44939,0.44322,0.39089,0.17558,0.39235,0.38452,0.32621,0.12289,2.01744,2.23367,1.66724,1.31096,0,0.00950953,0.00950953,0.00950953
32,5828.91,1.55243,2.36952,1.51218,1.26471,0,0.4565,0.4154,0.37196,0.15985,0.36527,0.35373,0.30249,0.11179,2.06917,2.39901,1.76081,1.32048,0,0.00947695,0.00947695,0.00947695
33,6010.97,1.55078,2.34039,1.51004,1.26507,0,0.47812,0.42638,0.39655,0.17492,0.4351,0.37483,0.33672,0.12689,2.04488,2.37635,1.6786,1.313,0,0.00944338,0.00944338,0.00944338
34,6192.22,1.54264,2.32317,1.49326,1.26308,0,0.4075,0.46425,0.3874,0.16832,0.41893,0.36282,0.34109,0.12681,2.06053,2.30147,1.66394,1.31967,0,0.00940884,0.00940884,0.00940884
35,6386.54,1.55058,2.34204,1.49831,1.26944,0,0.40869,0.44364,0.40768,0.17837,0.42702,0.3872,0.35322,0.13042,2.02613,2.26051,1.6163,1.31681,0,0.00937334,0.00937334,0.00937334
36,6567.99,1.52695,2.33174,1.48768,1.26175,0,0.4369,0.44905,0.40265,0.18081,0.37705,0.39059,0.32375,0.12422,2.02412,2.30857,1.64346,1.30926,0,0.00933688,0.00933688,0.00933688
37,6750.18,1.54796,2.32852,1.49788,1.26615,0,0.3327,0.23119,0.21927,0.09379,0.30801,0.23274,0.18768,0.05842,2.44836,2.49171,2.39339,1.4684,0,0.00929948,0.00929948,0.00929948
