epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,112.985,2.59574,3.5996,3.68169,1.94188,0,0.43358,0.14525,0.09935,0.03736,0.45219,0.1429,0.11012,0.03554,2.72268,3.14654,2.7067,1.66291,0,0.00332922,0.00332922,0.070037
2,221.63,2.28712,3.17429,2.63866,1.70375,0,0.44708,0.20974,0.13491,0.04857,0.47851,0.21541,0.14388,0.0472,2.70335,3.15019,2.5331,1.62437,0,0.00666219,0.00666219,0.0400366
3,338.678,2.30927,3.17926,2.55142,1.71949,0,0.15078,0.17216,0.08983,0.02691,0.16006,0.20141,0.11246,0.03073,2.92443,3.12842,2.86608,1.74542,0,0.00999367,0.00999367,0.0100348
4,453.324,2.27478,3.20903,2.51033,1.72675,0,0.43507,0.1304,0.07586,0.02645,0.44425,0.156,0.11986,0.03795,2.7728,3.30681,2.8415,1.74829,0,0.009995,0.009995,0.009995
5,568.502,2.2238,3.11895,2.4103,1.69794,0,0.23011,0.24195,0.16108,0.05665,0.28043,0.23607,0.16762,0.05423,2.56207,3.29442,2.40694,1.64105,0,0.00999112,0.00999112,0.00999112
6,682.556,2.15573,3.03357,2.29957,1.65581,0,0.14282,0.13749,0.07249,0.02569,0.15252,0.15621,0.08392,0.0258,2.71598,3.40746,2.93905,1.72229,0,0.00998613,0.00998613,0.00998613
7,797.323,2.08527,2.97442,2.21599,1.62816,0,0.2738,0.27204,0.21758,0.08062,0.25593,0.27589,0.20412,0.07003,2.36406,2.96068,2.26202,1.57505,0,0.00998003,0.00998003,0.00998003
8,912.098,2.05603,2.94046,2.14325,1.61494,0,0.28235,0.34062,0.2345,0.08991,0.29556,0.37067,0.25028,0.08861,2.38514,2.96901,2.16296,1.55516,0,0.00997282,0.00997282,0.00997282
9,1026.08,2.03191,2.89894,2.10828,1.59607,0,0.30816,0.27697,0.24462,0.09075,0.38127,0.28988,0.25027,0.08679,2.38843,2.93311,2.09403,1.54732,0,0.00996452,0.00996452,0.00996452
10,1140.32,1.99337,2.84863,2.0279,1.58814,0,0.34083,0.27076,0.25462,0.10251,0.45575,0.29253,0.27677,0.09513,2.3901,2.88627,2.09737,1.52678,0,0.00995511,0.00995511,0.00995511
11,1255.05,1.97959,2.80195,1.99276,1.56751,0,0.37446,0.29822,0.27219,0.10653,0.30628,0.32353,0.27561,0.09518,2.37381,2.8167,2.02671,1.5412,0,0.0099446,0.0099446,0.0099446
12,1369.92,1.96838,2.84522,1.97131,1.56069,0,0.29568,0.24109,0.20244,0.07372,0.33023,0.24872,0.2039,0.07136,2.45247,2.97152,2.34809,1.61206,0,0.00993299,0.00993299,0.00993299
13,1483.68,1.92922,2.80201,1.94063,1.55507,0,0.35161,0.3216,0.27353,0.11234,0.31831,0.3536,0.27284,0.1025,2.29064,2.84213,2.06163,1.5167,0,0.00992029,0.00992029,0.00992029
14,1598.05,1.90724,2.76152,1.8977,1.54157,0,0.32891,0.28676,0.26099,0.1078,0.34894,0.31277,0.26215,0.09234,2.33722,2.8648,2.15258,1.5162,0,0.0099065,0.0099065,0.0099065
15,1711.34,1.89923,2.75225,1.8767,1.53204,0,0.38444,0.33947,0.29184,0.11711,0.41191,0.34438,0.29914,0.10653,2.2655,2.83841,2.04211,1.50156,0,0.00989163,0.00989163,0.00989163
16,1824.14,1.87957,2.72086,1.85323,1.51491,0,0.35126,0.30408,0.26943,0.10047,0.40305,0.30679,0.29811,0.10333,2.38241,2.82731,2.02578,1.52124,0,0.00987566,0.00987566,0.00987566
