epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7633,2.05423,3.10123,3.76904,1.27985,0,0.01915,0.17552,0.02376,0.01243,0.02343,0.1905,0.03675,0.01255,1.66977,2.26533,3.77122,0.99155,0,0.00020006,0.00020006,0.00020006
2,20.2344,1.90249,2.21959,2.98346,1.09953,0,0.02436,0.20067,0.09503,0.03641,0.03256,0.24383,0.09781,0.03505,1.54781,2.12618,3.7324,0.94928,0,0.000414387,0.000414387,0.000414387
3,29.7269,1.86872,2.05645,2.21533,1.05751,0,0.0365,0.42719,0.11352,0.06841,0.0327,0.39293,0.10502,0.06595,1.50153,1.97833,3.62161,0.98664,0,0.00062862,0.00062862,0.00062862
4,39.1916,1.79088,2.03216,1.70016,1.03752,0,0.03498,0.40079,0.19242,0.12198,0.03152,0.37576,0.15879,0.08766,1.4613,1.809,3.48923,0.97661,0,0.000842689,0.000842689,0.000842689
5,48.5553,1.719,1.86856,1.51407,1.0177,0,0.04516,0.50128,0.23597,0.15256,0.04133,0.4686,0.21683,0.12575,1.41343,1.72088,3.33059,0.95428,0,0.00105652,0.00105652,0.00105652
6,57.8381,1.63481,1.76097,1.43304,1.02475,0,0.06908,0.64379,0.36883,0.2545,0.06435,0.62781,0.35936,0.22278,1.35897,1.54957,2.94068,0.94397,0,0.00127005,0.00127005,0.00127005
7,66.9579,1.595,1.80892,1.33083,1.01306,0,0.67101,0.26404,0.52383,0.35476,0.62564,0.2504,0.49052,0.28436,1.37422,1.57664,2.41207,0.94989,0,0.00142615,0.00142615,0.00142615
8,76.0794,1.55476,1.69817,1.27676,0.99095,0,0.74352,0.50558,0.68162,0.44339,0.66497,0.45969,0.58176,0.31135,1.36276,1.46016,1.73492,0.93831,0,0.00142512,0.00142512,0.00142512
9,85.3473,1.57056,1.68505,1.24729,0.99104,0,0.80227,0.64275,0.73773,0.48858,0.76909,0.6112,0.67989,0.36524,1.30376,1.41364,1.43283,0.91314,0,0.00142393,0.00142393,0.00142393
10,94.5056,1.55482,1.65237,1.22835,0.98017,0,0.80462,0.69355,0.75981,0.52066,0.75085,0.64348,0.69136,0.3805,1.16331,1.35323,1.16873,0.9085,0,0.00142258,0.00142258,0.00142258
