epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,223.659,4.89752,6.49615,6.88461,3.51945,0,0.25447,0.01605,0.00229,0.00052,0.51454,0.01242,0.00381,0.00072,3.9178,3.75807,3.79628,2.54191,0,0.00333098,0.00333098,0.0700211
2,439.592,3.31055,3.72021,3.54233,2.19819,0,0.26499,0.02998,0.00812,0.00165,0.28393,0.04605,0.01473,0.00293,3.4211,3.62826,3.27033,2.17006,0,0.00666395,0.00666395,0.0400208
3,663.971,3.0897,3.49334,3.27264,2.02683,0,0.27524,0.07043,0.01044,0.00264,0.28707,0.03483,0.01717,0.00352,3.24583,3.60396,3.36305,2.03923,0,0.00999543,0.00999543,0.0100189
4,871.4,2.77591,3.41359,3.13919,2.0387,0,0.30807,0.107,0.02411,0.00595,0.33844,0.12537,0.04518,0.01223,3.04552,3.43785,3.27077,1.99171,0,0.009995,0.009995,0.009995
5,1078,2.54482,3.33926,2.95485,2.00402,0,0.36661,0.12841,0.05024,0.01519,0.39505,0.13348,0.07826,0.02421,2.8622,3.28991,2.87397,1.891,0,0.00999112,0.00999112,0.00999112
6,1284.74,2.43502,3.24566,2.84198,1.92403,0,0.1144,0.11437,0.04435,0.01341,0.12054,0.13381,0.05896,0.01791,2.80964,3.56662,3.06327,1.90717,0,0.00998613,0.00998613,0.00998613
7,1491.94,2.34395,3.19953,2.73591,1.88409,0,0.1572,0.17981,0.08916,0.02918,0.23097,0.21375,0.12446,0.03877,2.71441,3.24617,2.75971,1.80438,0,0.00998003,0.00998003,0.00998003
8,1712.48,2.30659,3.15466,2.69112,1.84172,0,0.16756,0.18359,0.09,0.03042,0.22619,0.20878,0.12987,0.0414,2.65856,3.2655,2.6759,1.76679,0,0.00997282,0.00997282,0.00997282
9,1944.62,2.23932,3.13393,2.61779,1.8002,0,0.20945,0.20156,0.10778,0.03711,0.20749,0.22421,0.11621,0.03752,2.53437,3.28154,2.60988,1.74403,0,0.00996452,0.00996452,0.00996452
10,2178.18,2.19893,3.07528,2.53128,1.76333,0,0.1875,0.23047,0.12427,0.04187,0.23323,0.25377,0.14774,0.04811,2.57484,3.05031,2.55822,1.72179,0,0.00995511,0.00995511,0.00995511
11,2410.08,2.14476,3.04695,2.47672,1.74445,0,0.21503,0.23184,0.13708,0.04584,0.25192,0.27384,0.1676,0.0565,2.54594,2.98268,2.56671,1.70153,0,0.0099446,0.0099446,0.0099446
12,2643.55,2.10459,3.02087,2.4108,1.72278,0,0.19887,0.24359,0.1456,0.05037,0.21325,0.25647,0.14275,0.04589,2.45747,3.12864,2.46628,1.67577,0,0.00993299,0.00993299,0.00993299
13,2875.94,2.09119,2.97527,2.38327,1.71821,0,0.23875,0.23273,0.16734,0.06021,0.2352,0.28343,0.17086,0.05603,2.4535,3.0277,2.33902,1.67563,0,0.00992029,0.00992029,0.00992029
14,3108.47,2.06503,2.95336,2.31125,1.68367,0,0.23372,0.23337,0.15709,0.05863,0.25281,0.2644,0.17322,0.05942,2.41436,2.96691,2.40242,1.64786,0,0.0099065,0.0099065,0.0099065
15,3340.93,2.02922,2.95095,2.28329,1.68199,0,0.24625,0.26908,0.1658,0.06024,0.25273,0.28047,0.16519,0.05283,2.37515,2.92553,2.34418,1.64213,0,0.00989163,0.00989163,0.00989163
16,3573.92,2.03314,2.92087,2.26008,1.65754,0,0.26086,0.25395,0.18307,0.06881,0.29668,0.28324,0.19262,0.06244,2.40521,2.92307,2.27396,1.61888,0,0.00987566,0.00987566,0.00987566
17,3805.74,2.0064,2.91191,2.23401,1.65552,0,0.25892,0.28716,0.22204,0.08164,0.29773,0.324,0.22796,0.0793,2.36654,2.94059,2.20693,1.60624,0,0.00985862,0.00985862,0.00985862
18,4038.76,1.97891,2.88456,2.19473,1.64224,0,0.26543,0.3,0.21467,0.08343,0.30546,0.31506,0.23353,0.07958,2.3361,2.91379,2.21951,1.60428,0,0.00984051,0.00984051,0.00984051
19,4271.4,1.9589,2.85263,2.16543,1.63656,0,0.28277,0.27536,0.21936,0.08134,0.29143,0.32079,0.22633,0.07706,2.37067,2.84877,2.19582,1.62206,0,0.00982132,0.00982132,0.00982132
20,4504.52,1.96582,2.84276,2.14912,1.62911,0,0.29996,0.30519,0.22836,0.08523,0.30791,0.30406,0.23214,0.08141,2.34524,2.84887,2.20102,1.62434,0,0.00980107,0.00980107,0.00980107
