epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,187.518,2.53943,3.50971,3.23419,1.90194,0,0.21322,0.20732,0.15273,0.06439,0.27905,0.25266,0.20357,0.07066,2.75064,3.25671,2.35331,1.64128,0,0.00333098,0.00333098,0.0700211
2,367.254,2.27645,3.12304,2.32349,1.67674,0,0.47657,0.22363,0.16354,0.05702,0.51449,0.24701,0.1989,0.0626,2.6585,3.07921,2.35818,1.65559,0,0.00666395,0.00666395,0.0400208
3,553.743,2.30094,3.13004,2.39157,1.69823,0,0.10739,0.17042,0.06819,0.02261,0.15411,0.20073,0.07201,0.02131,2.84004,3.90618,2.89262,1.74399,0,0.00999543,0.00999543,0.0100189
4,740.626,2.29876,3.16779,2.43316,1.7086,0,0.42091,0.15777,0.08491,0.0284,0.4168,0.18451,0.10463,0.03144,2.77222,3.32382,2.66324,1.75953,0,0.009995,0.009995,0.009995
5,928.318,2.20607,3.09849,2.34077,1.67693,0,0.18182,0.21707,0.12316,0.04302,0.19925,0.22275,0.13744,0.04185,2.71908,3.16333,2.54116,1.70203,0,0.00999112,0.00999112,0.00999112
6,1114.93,2.14767,3.01782,2.24722,1.63779,0,0.47224,0.26622,0.18507,0.07036,0.48738,0.27539,0.2077,0.0728,2.46659,3.11183,2.22592,1.59038,0,0.00998613,0.00998613,0.00998613
7,1302.72,2.09649,2.96554,2.15022,1.62939,0,0.26489,0.27349,0.22243,0.08464,0.29373,0.32206,0.25286,0.08709,2.45299,2.9023,2.13865,1.57375,0,0.00998003,0.00998003,0.00998003
8,1490.54,2.07079,2.92848,2.11209,1.61071,0,0.28897,0.30467,0.2403,0.09371,0.28471,0.31483,0.23456,0.07997,2.39871,2.9953,2.14305,1.55777,0,0.00997282,0.00997282,0.00997282
9,1678.7,2.03316,2.89065,2.04463,1.58588,0,0.3458,0.28553,0.25971,0.10139,0.34028,0.30482,0.24411,0.09021,2.34301,3.03644,2.06313,1.54574,0,0.00996452,0.00996452,0.00996452
10,1866.58,1.99516,2.82749,1.99576,1.57106,0,0.27496,0.28551,0.21981,0.08658,0.28557,0.30362,0.22921,0.081,2.44283,2.86275,2.24565,1.56733,0,0.00995511,0.00995511,0.00995511
11,2054.25,1.96739,2.81495,1.95621,1.55682,0,0.32424,0.31816,0.29631,0.11861,0.32892,0.37126,0.30174,0.10832,2.28162,2.81224,1.95597,1.4736,0,0.0099446,0.0099446,0.0099446
12,2241.72,1.93569,2.79137,1.91473,1.54266,0,0.37122,0.31652,0.31134,0.1261,0.35391,0.33121,0.29562,0.10781,2.29752,2.90607,1.94891,1.49749,0,0.00993299,0.00993299,0.00993299
13,2428.71,1.90837,2.75472,1.89462,1.53536,0,0.29529,0.29299,0.25031,0.09772,0.24354,0.32865,0.22478,0.07713,2.30089,3.20189,2.06415,1.53335,0,0.00992029,0.00992029,0.00992029
14,2616.62,1.90877,2.73549,1.86817,1.51869,0,0.35393,0.28228,0.25817,0.09608,0.38742,0.3105,0.26656,0.09597,2.38503,2.79977,2.17054,1.53725,0,0.0099065,0.0099065,0.0099065
15,2804.57,1.88384,2.72737,1.8365,1.52193,0,0.37034,0.36527,0.30707,0.12446,0.39059,0.37051,0.32849,0.11454,2.27591,2.73528,1.99078,1.4967,0,0.00989163,0.00989163,0.00989163
16,2992.49,1.86213,2.6899,1.82236,1.49994,0,0.36118,0.34508,0.30202,0.12363,0.3895,0.3854,0.31855,0.11752,2.24509,2.75553,1.89194,1.46513,0,0.00987566,0.00987566,0.00987566
17,3179.55,1.86003,2.68588,1.8049,1.50745,0,0.39677,0.38846,0.34525,0.14593,0.41197,0.38885,0.3394,0.12793,2.19879,2.76104,1.84104,1.4547,0,0.00985862,0.00985862,0.00985862
18,3365.18,1.82686,2.66232,1.76624,1.49584,0,0.34402,0.35785,0.31213,0.13652,0.37483,0.35892,0.31702,0.11959,2.23171,2.74493,1.86668,1.4668,0,0.00984051,0.00984051,0.00984051
19,3549.38,1.82046,2.63393,1.74635,1.48604,0,0.3403,0.37823,0.33331,0.14249,0.37453,0.40085,0.36647,0.13699,2.25283,2.70087,1.81512,1.46154,0,0.00982132,0.00982132,0.00982132
20,3734.94,1.81493,2.62695,1.73405,1.48326,0,0.39013,0.39206,0.35762,0.14954,0.34305,0.40375,0.34058,0.13093,2.18188,2.67187,1.81749,1.46512,0,0.00980107,0.00980107,0.00980107
21,3920.43,1.80472,2.61936,1.71614,1.47716,0,0.38058,0.36837,0.33551,0.1444,0.42323,0.38828,0.36382,0.14009,2.18906,2.68111,1.83423,1.44123,0,0.00977975,0.00977975,0.00977975
22,4105.78,1.79786,2.60757,1.70588,1.47412,0,0.37563,0.39168,0.34374,0.14513,0.39737,0.40758,0.35465,0.13024,2.23638,2.70396,1.7881,1.44845,0,0.00975738,0.00975738,0.00975738
23,4291.15,1.78436,2.58467,1.6846,1.46841,0,0.33122,0.38108,0.31479,0.1347,0.33308,0.37149,0.32969,0.12512,2.21131,2.69327,1.84323,1.45831,0,0.00973396,0.00973396,0.00973396
24,4474.97,1.77069,2.56527,1.66621,1.46818,0,0.38352,0.40427,0.35913,0.15329,0.38662,0.40159,0.33403,0.13215,2.14363,2.67862,1.76703,1.43869,0,0.0097095,0.0097095,0.0097095
25,4660.54,1.78438,2.56177,1.65947,1.4592,0,0.38543,0.38273,0.36355,0.1592,0.37194,0.3951,0.35031,0.13653,2.12988,2.69079,1.75269,1.4161,0,0.00968399,0.00968399,0.00968399
26,4845.61,1.76106,2.5589,1.65948,1.46155,0,0.43039,0.37748,0.35497,0.1524,0.39662,0.39034,0.35349,0.13995,2.16587,2.70288,1.75313,1.44244,0,0.00965746,0.00965746,0.00965746
27,5030.58,1.77128,2.55135,1.62656,1.45,0,0.39749,0.41537,0.36741,0.15615,0.38903,0.42305,0.36703,0.14565,2.1581,2.63649,1.72171,1.4328,0,0.0096299,0.0096299,0.0096299
28,5214.78,1.75427,2.52235,1.62564,1.44636,0,0.38381,0.4081,0.36323,0.15524,0.42443,0.4292,0.37555,0.14447,2.15347,2.6209,1.74401,1.43953,0,0.00960131,0.00960131,0.00960131
29,5391.52,1.72348,2.50595,1.60525,1.44238,0,0.38483,0.40816,0.3602,0.15429,0.3824,0.41423,0.35171,0.13924,2.15972,2.62985,1.76344,1.44317,0,0.00957172,0.00957172,0.00957172
30,5569.59,1.7377,2.49422,1.58984,1.43221,0,0.44948,0.39387,0.39716,0.17558,0.43168,0.39072,0.38229,0.1531,2.13949,2.66231,1.71608,1.42094,0,0.00954112,0.00954112,0.00954112
31,5747.85,1.73093,2.48075,1.58771,1.43047,0,0.45028,0.41759,0.38195,0.17438,0.42845,0.38617,0.35965,0.14647,2.11663,2.64058,1.71881,1.40762,0,0.00950953,0.00950953,0.00950953
32,5924.87,1.71943,2.47577,1.56945,1.42666,0,0.42825,0.3994,0.39445,0.17186,0.45483,0.40232,0.38099,0.14863,2.12836,2.60238,1.68774,1.40512,0,0.00947695,0.00947695,0.00947695
33,6102.83,1.70997,2.48548,1.55403,1.42671,0,0.41943,0.41794,0.37965,0.16966,0.43036,0.4487,0.39622,0.15743,2.13622,2.65755,1.70222,1.40395,0,0.00944338,0.00944338,0.00944338
34,6286.97,1.70771,2.46282,1.55413,1.41977,0,0.42741,0.36141,0.35854,0.15696,0.49873,0.37749,0.3859,0.15213,2.13072,2.61666,1.73868,1.41655,0,0.00940884,0.00940884,0.00940884
35,6473.53,1.6907,2.46794,1.54938,1.41311,0,0.43881,0.42848,0.40115,0.17572,0.44017,0.48229,0.42001,0.1679,2.10336,2.61315,1.65231,1.39879,0,0.00937334,0.00937334,0.00937334
36,6659.29,1.69874,2.45315,1.54407,1.41584,0,0.42128,0.41906,0.38598,0.16958,0.41715,0.41218,0.3651,0.13916,2.09437,2.60455,1.69012,1.40792,0,0.00933688,0.00933688,0.00933688
37,6883.27,1.67401,2.43351,1.51031,1.41518,0,0.43612,0.45212,0.40003,0.17548,0.45568,0.39952,0.39844,0.15236,2.0871,2.61015,1.67531,1.40315,0,0.00929948,0.00929948,0.00929948
38,7087.13,1.6777,2.42105,1.51329,1.41294,0,0.41576,0.42544,0.4072,0.17712,0.39194,0.44814,0.385,0.14958,2.11011,2.61927,1.66561,1.41964,0,0.00926113,0.00926113,0.00926113
39,7290.58,1.67298,2.41771,1.50075,1.40554,0,0.43828,0.40331,0.39724,0.16985,0.44579,0.39221,0.37137,0.1483,2.10517,2.61255,1.67429,1.40087,0,0.00922186,0.00922186,0.00922186
40,7491.92,1.66179,2.41961,1.50095,1.41113,0,0.42933,0.41451,0.39756,0.17198,0.41768,0.43589,0.37867,0.15103,2.11643,2.59015,1.6617,1.40878,0,0.00918167,0.00918167,0.00918167
41,7693.52,1.65619,2.39177,1.48445,1.39937,0,0.48788,0.41386,0.39973,0.17286,0.50858,0.40676,0.3899,0.15188,2.10627,2.60753,1.6572,1.40708,0,0.00914058,0.00914058,0.00914058
42,7894.9,1.63698,2.3961,1.47896,1.39351,0,0.42882,0.45598,0.39577,0.17709,0.43738,0.44246,0.37826,0.15449,2.07198,2.62024,1.6418,1.39883,0,0.00909858,0.00909858,0.00909858
43,8096.24,1.64952,2.401,1.46497,1.39424,0,0.48179,0.43083,0.42277,0.18316,0.47503,0.39388,0.39063,0.15008,2.0885,2.60591,1.6365,1.40049,0,0.0090557,0.0090557,0.0090557
44,8297.61,1.61912,2.37388,1.44977,1.39291,0,0.45345,0.4238,0.40479,0.17845,0.46597,0.44257,0.41445,0.15949,2.09642,2.57737,1.65903,1.40078,0,0.00901194,0.00901194,0.00901194
45,8498.58,1.6249,2.38509,1.4419,1.38393,0,0.43608,0.44317,0.41861,0.18361,0.44351,0.39329,0.38723,0.15515,2.07449,2.62751,1.63588,1.4013,0,0.00896731,0.00896731,0.00896731
46,8699.59,1.61553,2.37995,1.43176,1.37918,0,0.41279,0.43402,0.40346,0.18354,0.448,0.39374,0.37806,0.15318,2.08359,2.65148,1.6211,1.39408,0,0.00892183,0.00892183,0.00892183
