epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,128.592,2.61798,3.64318,3.60277,2.00835,0,0.36984,0.15927,0.07566,0.02788,0.37541,0.16342,0.09337,0.03121,2.67537,3.30185,2.80407,1.64558,0,0.00332864,0.00332864,0.0700423
2,239.091,2.25784,3.14851,2.62697,1.69825,0,0.40408,0.23314,0.12777,0.04842,0.43901,0.2309,0.16466,0.05996,2.57609,3.30845,2.51968,1.60351,0,0.0066616,0.0066616,0.0400419
3,342.07,2.2544,3.16245,2.54016,1.69127,0,0.4508,0.21269,0.12295,0.04074,0.46374,0.22475,0.14576,0.04514,2.75108,3.16212,2.71294,1.73755,0,0.00999309,0.00999309,0.01004
4,445.669,2.2502,3.12159,2.50615,1.69453,0,0.42161,0.19628,0.1215,0.04727,0.43309,0.19938,0.14319,0.05103,2.60851,3.18633,2.57705,1.66443,0,0.009995,0.009995,0.009995
5,548.557,2.18333,3.04614,2.37246,1.66344,0,0.23373,0.2535,0.18274,0.06823,0.36516,0.26183,0.19395,0.06167,2.48611,3.24563,2.3607,1.58219,0,0.00999112,0.00999112,0.00999112
6,652.142,2.10693,2.96418,2.26123,1.62914,0,0.23582,0.22701,0.16249,0.0598,0.24318,0.23891,0.17441,0.06126,2.57084,3.12375,2.42411,1.61307,0,0.00998613,0.00998613,0.00998613
7,755.191,2.07701,2.95484,2.22134,1.61676,0,0.5458,0.25815,0.21599,0.07888,0.45643,0.30366,0.24029,0.08195,2.51053,3.02057,2.2841,1.58918,0,0.00998003,0.00998003,0.00998003
8,858.756,2.04081,2.90542,2.1477,1.60479,0,0.31305,0.26124,0.23435,0.09052,0.3897,0.316,0.25154,0.08661,2.39756,2.93715,2.17427,1.54626,0,0.00997282,0.00997282,0.00997282
9,962.208,2.00919,2.87318,2.09433,1.58158,0,0.52358,0.27816,0.22914,0.08953,0.47254,0.31935,0.25571,0.08853,2.3999,2.90706,2.12651,1.52794,0,0.00996452,0.00996452,0.00996452
10,1063.85,1.97082,2.83189,2.04132,1.56477,0,0.40127,0.30264,0.25072,0.09748,0.46183,0.31347,0.26352,0.08912,2.38996,2.83482,2.15389,1.55093,0,0.00995511,0.00995511,0.00995511
11,1166.91,1.96007,2.81556,2.0361,1.55356,0,0.2794,0.27249,0.23521,0.09678,0.35326,0.3062,0.23981,0.08738,2.3248,2.8809,2.11395,1.50727,0,0.0099446,0.0099446,0.0099446
12,1268.76,1.92731,2.80704,1.97411,1.55168,0,0.57599,0.31297,0.27922,0.10754,0.56692,0.30008,0.26352,0.08818,2.31312,3.14756,2.04594,1.53004,0,0.00993299,0.00993299,0.00993299
13,1371.8,1.92055,2.7696,1.94656,1.5381,0,0.31407,0.34025,0.2796,0.11349,0.3943,0.33856,0.3059,0.11337,2.28475,2.85578,1.96768,1.49844,0,0.00992029,0.00992029,0.00992029
14,1474.12,1.90717,2.77269,1.91502,1.53029,0,0.30041,0.31726,0.25656,0.10896,0.32734,0.34665,0.26587,0.09445,2.29721,2.83173,2.06474,1.50537,0,0.0099065,0.0099065,0.0099065
15,1577.34,1.87667,2.7117,1.88566,1.51826,0,0.33395,0.33951,0.28204,0.11455,0.33099,0.37319,0.28709,0.10725,2.26183,2.79149,1.9896,1.48699,0,0.00989163,0.00989163,0.00989163
16,1679.51,1.86229,2.70861,1.86428,1.50601,0,0.354,0.32088,0.2769,0.11379,0.38861,0.36886,0.30464,0.11105,2.28637,2.77427,2.03239,1.48556,0,0.00987566,0.00987566,0.00987566
17,1782.36,1.85744,2.67977,1.85828,1.50263,0,0.29786,0.34993,0.2843,0.11966,0.31376,0.37355,0.30771,0.11671,2.28675,2.82407,2.00686,1.47135,0,0.00985862,0.00985862,0.00985862
18,1885.69,1.84715,2.68268,1.83387,1.49612,0,0.33229,0.30758,0.26693,0.11448,0.36724,0.31913,0.28074,0.10691,2.29032,2.67876,1.98496,1.47158,0,0.00984051,0.00984051,0.00984051
19,1987.62,1.83192,2.67797,1.8221,1.49939,0,0.37838,0.3348,0.31272,0.13502,0.37821,0.37052,0.32578,0.12956,2.22358,2.75562,1.8932,1.44786,0,0.00982132,0.00982132,0.00982132
20,2090.91,1.81527,2.66637,1.79421,1.48676,0,0.39302,0.3534,0.32094,0.13706,0.39234,0.34298,0.30844,0.12035,2.21657,2.75343,1.94055,1.45245,0,0.00980107,0.00980107,0.00980107
21,2192.41,1.81214,2.6519,1.77596,1.49187,0,0.40053,0.34739,0.32987,0.13858,0.40477,0.33737,0.31595,0.11881,2.26588,2.7409,1.91443,1.47443,0,0.00977975,0.00977975,0.00977975
22,2295.17,1.79879,2.62987,1.76562,1.47585,0,0.36412,0.32647,0.31466,0.13603,0.32967,0.38705,0.31141,0.1167,2.22256,2.69259,1.91566,1.47105,0,0.00975738,0.00975738,0.00975738
23,2396.99,1.80212,2.65014,1.76222,1.47776,0,0.34326,0.36842,0.32121,0.13946,0.32661,0.37746,0.32395,0.1224,2.17073,2.70134,1.91479,1.46339,0,0.00973396,0.00973396,0.00973396
