epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,199.465,2.60164,3.585,3.14989,2.00545,0,0.44119,0.18377,0.12875,0.05362,0.46086,0.2059,0.17291,0.06096,2.58868,3.15689,2.46836,1.5896,0,0.00333098,0.00333098,0.0700211
2,388.163,2.26995,3.13196,2.40388,1.68112,0,0.44918,0.14955,0.11285,0.04227,0.43143,0.15498,0.1435,0.04731,2.70742,3.04834,2.54875,1.68275,0,0.00666395,0.00666395,0.0400208
3,575.496,2.27842,3.10907,2.44533,1.70106,0,0.12166,0.13043,0.09234,0.03091,0.2479,0.20372,0.12661,0.04058,2.662,3.30145,2.74022,1.67351,0,0.00999543,0.00999543,0.0100189
4,761.742,2.28912,3.15384,2.4775,1.69334,0,0.48233,0.14362,0.10865,0.0392,0.58772,0.12738,0.12503,0.04155,2.61023,3.14848,2.59254,1.67579,0,0.009995,0.009995,0.009995
5,948.436,2.19361,3.07347,2.3668,1.67531,0,0.18269,0.1931,0.10673,0.04007,0.22594,0.21763,0.12773,0.04089,2.59122,3.12319,2.62557,1.66617,0,0.00999112,0.00999112,0.00999112
6,1134.71,2.16431,3.00397,2.2824,1.65064,0,0.48935,0.23616,0.16107,0.05931,0.47774,0.23485,0.16519,0.05579,2.48734,3.11809,2.32316,1.60113,0,0.00998613,0.00998613,0.00998613
7,1336.4,2.09671,2.96621,2.19538,1.62851,0,0.27746,0.27943,0.20467,0.07796,0.31553,0.30669,0.22509,0.07708,2.39447,2.92478,2.21918,1.53967,0,0.00998003,0.00998003,0.00998003
8,1540.6,2.06323,2.90749,2.16008,1.60494,0,0.29229,0.24775,0.21175,0.08127,0.25354,0.25868,0.20379,0.07147,2.38544,2.96196,2.15741,1.56056,0,0.00997282,0.00997282,0.00997282
9,1729,2.02222,2.88358,2.09198,1.59157,0,0.29372,0.29643,0.25175,0.09786,0.30307,0.31955,0.24826,0.09119,2.33029,2.96176,2.09014,1.52832,0,0.00996452,0.00996452,0.00996452
10,1917.77,1.98362,2.83263,2.04776,1.56473,0,0.37911,0.30716,0.23868,0.09086,0.47852,0.29761,0.24995,0.09365,2.3517,2.85178,2.14273,1.53802,0,0.00995511,0.00995511,0.00995511
