epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81529,1.01742,0.70388,0.87466,0.89507,0.86161,0.89777,0.69897,0.81149,0.58905,0.86431,0.00022864,0.00022864,0.00022864
2,9.22811,1.04387,0.7237,0.87983,0.89116,0.8627,0.89334,0.6855,0.85208,0.61081,0.86818,0.000471544,0.000471544,0.000471544
3,13.6809,1.05723,0.72216,0.87656,0.90391,0.84495,0.89566,0.67768,0.83714,0.60687,0.86002,0.000714341,0.000714341,0.000714341
4,18.05,1.17494,0.78673,0.88629,0.89608,0.82714,0.90107,0.66814,0.87471,0.60991,0.86823,0.000956952,0.000956952,0.000956952
5,22.8063,1.1182,0.76405,0.88725,0.8874,0.84664,0.89214,0.65027,0.9517,0.66498,0.88362,0.00119929,0.00119929,0.00119929
6,27.2216,1.14053,0.79042,0.90004,0.87242,0.83811,0.88182,0.65774,0.89633,0.65447,0.86737,0.00142702,0.00142702,0.00142702
7,31.5808,1.14711,0.77932,0.89786,0.87874,0.85214,0.88871,0.65963,0.8971,0.64458,0.87583,0.00142615,0.00142615,0.00142615
8,35.9235,1.11082,0.76934,0.89059,0.89242,0.85022,0.88967,0.65807,0.91219,0.62162,0.87511,0.00142512,0.00142512,0.00142512
9,40.2845,1.04995,0.79615,0.88851,0.88382,0.85845,0.88491,0.65538,0.91582,0.62604,0.87503,0.00142393,0.00142393,0.00142393
10,44.6362,1.13322,0.77567,0.89679,0.89261,0.83763,0.88994,0.65519,0.92265,0.64662,0.8727,0.00142258,0.00142258,0.00142258
11,49.0221,1.16888,0.78182,0.89209,0.90254,0.84607,0.89187,0.67337,0.89203,0.62415,0.87181,0.00142108,0.00142108,0.00142108
12,53.3448,1.11608,0.77333,0.90294,0.89947,0.83855,0.88724,0.65654,0.9257,0.64059,0.87744,0.00141942,0.00141942,0.00141942
13,57.5593,1.1412,0.77111,0.89416,0.90629,0.83226,0.89286,0.6714,0.91667,0.64472,0.87994,0.00141761,0.00141761,0.00141761
14,61.7336,1.14112,0.76681,0.89299,0.88467,0.82537,0.89276,0.67086,0.90444,0.65296,0.87028,0.00141564,0.00141564,0.00141564
15,65.9321,1.10386,0.76562,0.89942,0.90287,0.83066,0.89241,0.66811,0.89541,0.64046,0.87567,0.00141351,0.00141351,0.00141351
